Step,Value,WaveformValue
0,20,20
1,27,-27
2,40,40
3,47,-47
4,60,60
5,66,-66
6,77,77
7,91,-91
8,104,104
9,118,-118
10,128,128
11,150,-150
12,166,166
13,187,-187
14,209,209
15,224,-224
16,248,248
17,271,-271
18,295,295
19,319,-319
20,330,330
21,347,-347
22,371,371
23,395,-395
24,419,419
25,430,-430
26,447,447
27,471,-471
28,495,495
29,519,-519
30,529,529
31,552,-552
32,574,574
33,598,-598
34,621,621
35,643,-643
36,666,666
37,687,-687
38,709,709
39,724,-724
40,748,748
41,771,-771
42,795,795
43,819,-819
44,829,829
45,852,-852
46,874,874
47,898,-898
48,921,921
49,944,-944
50,968,968
51,990,-990
52,1009,1009
