Step,Value,WaveformValue
0,78,78
1,83,-83
2,87,87
3,94,-94
4,100,100
5,107,-107
6,116,116
7,119,-119
8,122,122
9,134,-134
10,152,152
11,168,-168
12,176,176
13,187,-187
14,197,197
15,207,-207
16,215,215
17,217,-217
18,219,219
19,221,-221
20,233,233
21,248,-248
22,260,260
23,262,-262
24,267,267
25,276,-276
26,286,286
27,296,-296
28,306,306
29,316,-316
30,319,319
31,322,-322
32,334,334
33,352,-352
34,368,368
35,376,-376
36,387,387
37,397,-397
38,407,407
39,418,-418
40,423,423
41,438,-438
42,457,457
43,479,-479
44,490,490
45,495,-495
46,505,505
47,513,-513
48,517,517
49,521,-521
50,535,535
51,553,-553
52,571,571
53,579,-579
54,589,589
55,599,-599
56,609,609
57,621,-621
58,638,638
59,659,-659
60,682,682
61,692,-692
62,702,702
63,710,-710
64,722,722
65,737,-737
66,759,759
67,781,-781
68,791,791
69,801,-801
70,808,808
71,816,-816
72,820,820
73,830,-830
74,843,843
75,856,-856
76,878,878
77,887,-887
78,898,898
79,907,-907
80,918,918
81,923,-923
82,938,938
83,957,-957
84,979,979
85,990,-990
86,995,995
87,1005,-1005
