Step,Value,WaveformValue
0,20,20
1,22,-22
2,27,27
3,32,-32
4,35,35
5,39,-39
6,42,42
7,45,-45
8,49,49
9,52,-52
10,55,55
11,59,-59
12,62,62
13,65,-65
14,69,69
15,72,-72
16,75,75
17,79,-79
18,82,82
19,85,-85
20,89,89
21,92,-92
22,95,95
23,99,-99
24,102,102
25,108,-108
26,115,115
27,118,-118
28,121,121
29,129,-129
30,137,137
31,143,-143
32,149,149
33,155,-155
34,162,162
35,168,-168
36,175,175
37,182,-182
38,188,188
39,195,-195
40,202,202
41,208,-208
42,215,215
43,218,-218
44,221,221
45,229,-229
46,237,237
47,243,-243
48,249,249
49,255,-255
50,262,262
51,268,-268
52,275,275
53,282,-282
54,288,288
55,295,-295
56,302,302
57,308,-308
58,315,315
59,318,-318
60,321,321
61,329,-329
62,337,337
63,343,-343
64,349,349
65,355,-355
66,362,362
67,368,-368
68,375,375
69,382,-382
70,388,388
71,395,-395
72,402,402
73,408,-408
74,415,415
75,418,-418
76,421,421
77,429,-429
78,437,437
79,443,-443
80,449,449
81,455,-455
82,462,462
83,468,-468
84,475,475
85,482,-482
86,488,488
87,495,-495
88,502,502
89,509,-509
90,516,516
91,520,-520
92,526,526
93,536,-536
94,544,544
95,551,-551
96,558,558
97,566,-566
98,574,574
99,581,-581
100,588,588
101,596,-596
102,604,604
103,611,-611
104,615,615
105,619,-619
106,623,623
107,632,-632
108,639,639
109,646,-646
110,654,654
111,661,-661
112,668,668
113,676,-676
114,684,684
115,691,-691
116,698,698
117,706,-706
118,713,713
119,716,-716
120,719,719
121,722,-722
122,730,730
123,733,-733
124,739,739
125,745,-745
126,752,752
127,758,-758
128,765,765
129,772,-772
130,778,778
131,785,-785
132,792,792
133,798,-798
134,805,805
135,813,-813
136,817,817
137,821,-821
138,830,830
139,834,-834
140,841,841
141,848,-848
142,856,856
143,864,-864
144,871,871
145,878,-878
146,886,886
147,894,-894
148,901,901
149,907,-907
150,913,913
151,916,-916
152,919,919
153,922,-922
154,930,930
155,933,-933
156,939,939
157,945,-945
158,952,952
159,958,-958
160,965,965
161,972,-972
162,978,978
163,985,-985
164,992,992
165,998,-998
166,1005,1005
