Step,Value,WaveformValue
0,2,2
1,5,-5
2,10,10
3,14,-14
4,29,29
5,43,-43
6,63,63
7,79,-79
8,98,98
9,115,-115
10,136,136
11,159,-159
12,186,186
13,210,-210
14,223,223
15,246,-246
16,272,272
17,298,-298
18,324,324
19,352,-352
20,379,379
21,409,-409
22,428,428
23,455,-455
24,487,487
25,518,-518
26,529,529
27,554,-554
28,586,586
29,612,-612
30,626,626
31,645,-645
32,673,673
33,700,-700
34,710,710
35,724,-724
36,751,751
37,777,-777
38,805,805
39,820,-820
40,836,836
41,860,-860
42,878,878
43,906,-906
44,919,919
45,930,-930
46,950,950
47,971,-971
48,999,999
49,1028,-1028
