Step,Value,WaveformValue
0,21,21
1,33,-33
2,46,46
3,62,-62
4,78,78
5,86,-86
6,93,93
7,100,-100
8,104,104
9,116,-116
10,122,122
11,144,-144
12,168,168
13,189,-189
14,203,203
15,217,-217
16,227,227
17,253,-253
18,276,276
19,293,-293
20,310,310
21,322,-322
22,346,346
23,370,-370
24,378,378
25,394,-394
26,411,411
27,421,-421
28,443,443
29,469,-469
30,494,494
31,513,-513
32,520,520
33,534,-534
34,556,556
35,576,-576
36,590,590
37,597,-597
38,613,613
39,621,-621
40,641,641
41,663,-663
42,685,685
43,699,-699
44,715,715
45,725,-725
46,748,748
47,775,-775
48,791,791
49,806,-806
50,819,819
51,828,-828
52,852,852
53,876,-876
54,892,892
55,910,-910
56,923,923
57,946,-946
58,971,971
59,985,-985
60,1000,1000
