Step,Value,WaveformValue
0,1,1
1,5,-5
2,9,9
3,13,-13
4,21,21
5,31,-31
6,42,42
7,54,-54
8,65,65
9,74,-74
10,85,85
11,96,-96
12,105,105
13,118,-118
14,136,136
15,155,-155
16,174,174
17,194,-194
18,214,214
19,232,-232
20,254,254
21,275,-275
22,295,295
23,315,-315
24,332,332
25,354,-354
26,375,375
27,395,-395
28,415,415
29,432,-432
30,454,454
31,475,-475
32,495,495
33,515,-515
34,531,531
35,551,-551
36,570,570
37,584,-584
38,605,605
39,617,-617
40,632,632
41,652,-652
42,671,671
43,689,-689
44,708,708
45,723,-723
46,743,743
47,764,-764
48,783,783
49,804,-804
50,820,820
51,836,-836
52,857,857
53,878,-878
54,901,901
55,914,-914
56,931,931
57,951,-951
58,970,970
59,984,-984
60,1005,1005
