Step,Value,WaveformValue
0,22,22
1,31,-31
2,34,34
3,38,-38
4,41,41
5,44,-44
6,48,48
7,51,-51
8,54,54
9,58,-58
10,61,61
11,64,-64
12,68,68
13,71,-71
14,74,74
15,78,-78
16,81,81
17,84,-84
18,88,88
19,91,-91
20,94,94
21,98,-98
22,101,101
23,107,-107
24,113,113
25,116,-116
26,119,119
27,122,-122
28,134,134
29,141,-141
30,147,147
31,153,-153
32,160,160
33,163,-163
34,170,170
35,173,-173
36,180,180
37,183,-183
38,190,190
39,193,-193
40,200,200
41,205,-205
42,214,214
43,219,-219
44,224,224
45,237,-237
46,245,245
47,254,-254
48,263,263
49,272,-272
50,282,282
51,292,-292
52,302,302
53,311,-311
54,322,322
55,335,-335
56,343,343
57,351,-351
58,358,358
59,365,-365
60,373,373
61,381,-381
62,388,388
63,395,-395
64,403,403
65,411,-411
66,422,422
67,435,-435
68,443,443
69,451,-451
70,458,458
71,465,-465
72,473,473
73,481,-481
74,488,488
75,495,-495
76,503,503
77,511,-511
78,522,522
79,535,-535
80,543,543
81,551,-551
82,558,558
83,565,-565
84,573,573
85,581,-581
86,588,588
87,595,-595
88,603,603
89,610,-610
90,617,617
91,620,-620
92,627,627
93,637,-637
94,643,643
95,650,-650
96,653,653
97,660,-660
98,663,663
99,670,-670
100,673,673
101,680,-680
102,683,683
103,690,-690
104,693,693
105,700,-700
106,703,703
107,710,-710
108,717,717
109,720,-720
110,727,727
111,737,-737
112,743,743
113,750,-750
114,753,753
115,760,-760
116,763,763
117,770,-770
118,773,773
119,780,-780
120,783,783
121,790,-790
122,793,793
123,800,-800
124,803,803
125,810,-810
126,817,817
127,820,-820
128,827,827
129,837,-837
130,843,843
131,850,-850
132,853,853
133,860,-860
134,863,863
135,870,-870
136,873,873
137,880,-880
138,883,883
139,890,-890
140,893,893
141,900,-900
142,903,903
143,910,-910
144,917,917
145,920,-920
146,927,927
147,937,-937
148,943,943
149,950,-950
150,953,953
151,960,-960
152,963,963
153,970,-970
154,973,973
155,980,-980
156,983,983
157,990,-990
158,993,993
159,1000,-1000
