Step,Value,WaveformValue
0,22,22
1,31,-31
2,34,34
3,38,-38
4,41,41
5,44,-44
6,48,48
7,51,-51
8,54,54
9,58,-58
10,61,61
11,64,-64
12,68,68
13,71,-71
14,74,74
15,78,-78
16,81,81
17,84,-84
18,88,88
19,91,-91
20,94,94
21,98,-98
22,101,101
23,107,-107
24,113,113
25,116,-116
26,119,119
27,122,-122
28,134,134
29,141,-141
30,147,147
31,153,-153
32,160,160
33,163,-163
34,170,170
35,173,-173
36,180,180
37,183,-183
38,190,190
39,193,-193
40,200,200
41,205,-205
42,214,214
43,219,-219
44,224,224
45,237,-237
46,245,245
47,254,-254
48,263,263
49,272,-272
50,282,282
51,292,-292
52,302,302
53,311,-311
54,315,315
55,319,-319
56,323,323
57,335,-335
58,343,343
59,351,-351
60,358,358
61,365,-365
62,373,373
63,381,-381
64,388,388
65,395,-395
66,403,403
67,411,-411
68,415,415
69,419,-419
70,423,423
71,435,-435
72,443,443
73,451,-451
74,458,458
75,465,-465
76,473,473
77,481,-481
78,488,488
79,495,-495
80,503,503
81,511,-511
82,515,515
83,519,-519
84,523,523
85,535,-535
86,543,543
87,551,-551
88,558,558
89,565,-565
90,573,573
91,581,-581
92,588,588
93,595,-595
94,603,603
95,610,-610
96,617,617
97,620,-620
98,627,627
99,637,-637
100,643,643
101,650,-650
102,653,653
103,660,-660
104,663,663
105,670,-670
106,673,673
107,680,-680
108,683,683
109,690,-690
110,693,693
111,700,-700
112,703,703
113,710,-710
114,717,717
115,720,-720
116,727,727
117,737,-737
118,743,743
119,750,-750
120,753,753
121,760,-760
122,763,763
123,770,-770
124,773,773
125,780,-780
126,783,783
127,790,-790
128,793,793
129,800,-800
130,803,803
131,810,-810
132,817,817
133,820,-820
134,827,827
135,837,-837
136,843,843
137,850,-850
138,853,853
139,860,-860
140,863,863
141,870,-870
142,873,873
143,880,-880
144,883,883
145,890,-890
146,893,893
147,900,-900
148,903,903
149,910,-910
150,917,917
151,920,-920
152,927,927
153,937,-937
154,943,943
155,950,-950
156,953,953
157,960,-960
158,963,963
159,970,-970
160,973,973
161,980,-980
162,983,983
163,990,-990
164,993,993
165,1000,-1000
