Step,Value,WaveformValue
0,22,22
1,34,-34
2,54,54
3,65,-65
4,73,73
5,81,-81
6,87,87
7,94,-94
8,105,105
9,119,-119
10,128,128
11,150,-150
12,159,159
13,176,-176
14,190,190
15,199,-199
16,216,216
17,225,-225
18,248,248
19,264,-264
20,284,284
21,304,-304
22,323,323
23,348,-348
24,366,366
25,382,-382
26,399,399
27,418,-418
28,432,432
29,461,-461
30,481,481
31,501,-501
32,515,515
33,526,-526
34,548,548
35,566,-566
36,582,582
37,599,-599
38,618,618
39,626,-626
40,645,645
41,661,-661
42,675,675
43,691,-691
44,705,705
45,720,-720
46,736,736
47,760,-760
48,770,770
49,780,-780
50,790,790
51,800,-800
52,810,810
53,824,-824
54,851,851
55,867,-867
56,884,884
57,905,-905
58,921,921
59,944,-944
60,966,966
61,982,-982
62,999,999
63,1018,-1018
