Step,Value,WaveformValue
0,22,22
1,31,-31
2,34,34
3,38,-38
4,44,44
5,48,-48
6,54,54
7,58,-58
8,64,64
9,68,-68
10,74,74
11,78,-78
12,84,84
13,88,-88
14,94,94
15,98,-98
16,104,104
17,111,-111
18,114,114
19,117,-117
20,120,120
21,129,-129
22,144,144
23,151,-151
24,157,157
25,165,-165
26,171,171
27,177,-177
28,185,185
29,191,-191
30,197,197
31,205,-205
32,211,211
33,214,-214
34,217,217
35,220,-220
36,229,229
37,244,-244
38,251,251
39,257,-257
40,265,265
41,271,-271
42,277,277
43,285,-285
44,291,291
45,297,-297
46,305,305
47,310,-310
48,314,314
49,316,-316
50,318,318
51,320,-320
52,328,328
53,342,-342
54,347,347
55,354,-354
56,360,360
57,362,-362
58,367,367
59,374,-374
60,380,380
61,382,-382
62,387,387
63,394,-394
64,400,400
65,404,-404
66,412,412
67,416,-416
68,420,420
69,430,-430
70,434,434
71,442,-442
72,449,449
73,459,-459
74,469,469
75,479,-479
76,489,489
77,499,-499
78,509,509
79,518,-518
80,521,521
81,533,-533
82,538,538
83,547,-547
84,555,555
85,561,-561
86,567,567
87,575,-575
88,581,581
89,587,-587
90,595,595
91,601,-601
92,608,608
93,618,-618
94,622,622
95,635,-635
96,642,642
97,649,-649
98,659,659
99,669,-669
100,679,679
101,689,-689
102,699,699
103,709,-709
104,720,720
105,731,-731
106,739,739
107,750,-750
108,755,755
109,763,-763
110,770,770
111,775,-775
112,783,783
113,790,-790
114,795,795
115,803,-803
116,811,811
117,817,-817
118,823,823
119,837,-837
120,848,848
121,860,-860
122,866,866
123,876,-876
124,886,886
125,896,-896
126,906,906
127,916,-916
128,922,922
129,937,-937
130,948,948
131,960,-960
132,966,966
133,976,-976
134,986,986
135,996,-996
136,1006,1006
