Step,Value,WaveformValue
0,20,20
1,28,-28
2,41,41
3,51,-51
4,66,66
5,82,-82
6,96,96
7,111,-111
8,119,119
9,127,-127
10,146,146
11,164,-164
12,189,189
13,215,-215
14,221,221
15,240,-240
16,251,251
17,272,-272
18,290,290
19,306,-306
20,317,317
21,323,-323
22,340,340
23,351,-351
24,372,372
25,390,-390
26,406,406
27,420,-420
28,437,437
29,457,-457
30,479,479
31,504,-504
32,517,517
33,524,-524
34,545,545
35,561,-561
36,584,584
37,608,-608
38,621,621
39,642,-642
40,658,658
41,681,-681
42,705,705
43,715,-715
44,721,721
45,740,-740
46,751,751
47,772,-772
48,790,790
49,806,-806
50,819,819
51,827,-827
52,846,846
53,864,-864
54,889,889
55,915,-915
56,925,925
57,947,-947
58,965,965
59,990,-990
60,1010,1010
