Step,Value,WaveformValue
0,20,20
1,23,-23
2,29,29
3,35,-35
4,39,39
5,42,-42
6,45,45
7,49,-49
8,52,52
9,55,-55
10,59,59
11,62,-62
12,65,65
13,69,-69
14,72,72
15,75,-75
16,79,79
17,82,-82
18,85,85
19,89,-89
20,92,92
21,95,-95
22,99,99
23,102,-102
24,107,107
25,112,-112
26,114,114
27,116,-116
28,118,118
29,120,-120
30,125,125
31,134,-134
32,139,139
33,144,-144
34,149,149
35,154,-154
36,159,159
37,164,-164
38,169,169
39,174,-174
40,179,179
41,184,-184
42,189,189
43,194,-194
44,199,199
45,204,-204
46,210,210
47,215,-215
48,218,218
49,221,-221
50,229,229
51,238,-238
52,243,243
53,249,-249
54,255,255
55,262,-262
56,268,268
57,273,-273
58,279,279
59,285,-285
60,292,292
61,298,-298
62,303,303
63,309,-309
64,315,315
65,318,-318
66,321,321
67,329,-329
68,338,338
69,343,-343
70,349,349
71,355,-355
72,362,362
73,368,-368
74,373,373
75,379,-379
76,385,385
77,392,-392
78,398,398
79,403,-403
80,409,409
81,415,-415
82,418,418
83,421,-421
84,429,429
85,438,-438
86,443,443
87,449,-449
88,455,455
89,462,-462
90,468,468
91,473,-473
92,479,479
93,485,-485
94,492,492
95,498,-498
96,503,503
97,510,-510
98,516,516
99,520,-520
100,527,527
101,537,-537
102,544,544
103,551,-551
104,557,557
105,564,-564
106,571,571
107,577,-577
108,584,584
109,591,-591
110,597,597
111,604,-604
112,610,610
113,615,-615
114,618,618
115,621,-621
116,629,629
117,638,-638
118,643,643
119,649,-649
120,655,655
121,662,-662
122,668,668
123,673,-673
124,679,679
125,685,-685
126,692,692
127,698,-698
128,703,703
129,709,-709
130,715,715
131,718,-718
132,721,721
133,729,-729
134,738,738
135,743,-743
136,749,749
137,755,-755
138,762,762
139,768,-768
140,773,773
141,779,-779
142,785,785
143,792,-792
144,798,798
145,803,-803
146,808,808
147,812,-812
148,814,814
149,816,-816
150,818,818
151,820,-820
152,825,825
153,834,-834
154,839,839
155,844,-844
156,849,849
157,854,-854
158,859,859
159,864,-864
160,869,869
161,874,-874
162,879,879
163,884,-884
164,889,889
165,894,-894
166,899,899
167,904,-904
168,910,910
169,915,-915
170,918,918
171,921,-921
172,929,929
173,938,-938
174,943,943
175,949,-949
176,955,955
177,962,-962
178,968,968
179,973,-973
180,979,979
181,985,-985
182,992,992
183,998,-998
184,1003,1003
