Step,Value,WaveformValue
0,1,1
1,4,-4
2,9,9
3,13,-13
4,21,21
5,30,-30
6,36,36
7,47,-47
8,58,58
9,70,-70
10,75,75
11,86,-86
12,97,97
13,107,-107
14,117,117
15,123,-123
16,140,140
17,152,-152
18,170,170
19,181,-181
20,197,197
21,213,-213
22,229,229
23,247,-247
24,266,266
25,284,-284
26,304,304
27,317,-317
28,325,325
29,344,-344
30,364,364
31,383,-383
32,403,403
33,416,-416
34,424,424
35,443,-443
36,463,463
37,482,-482
38,502,502
39,515,-515
40,523,523
41,542,-542
42,562,562
43,581,-581
44,599,599
45,617,-617
46,624,624
47,642,-642
48,661,661
49,677,-677
50,694,694
51,712,-712
52,726,726
53,743,-743
54,762,762
55,780,-780
56,793,793
57,811,-811
58,825,825
59,844,-844
60,864,864
61,883,-883
62,903,903
63,915,-915
64,922,922
65,940,-940
66,953,953
67,972,-972
68,990,990
69,1002,-1002
