Step,Value,WaveformValue
0,21,21
1,23,-23
2,25,25
3,27,-27
4,29,29
5,31,-31
6,33,33
7,35,-35
8,37,37
9,39,-39
10,41,41
11,43,-43
12,45,45
13,47,-47
14,49,49
15,51,-51
16,53,53
17,55,-55
18,57,57
19,59,-59
20,61,61
21,63,-63
22,65,65
23,67,-67
24,69,69
25,71,-71
26,73,73
27,75,-75
28,77,77
29,79,-79
30,81,81
31,83,-83
32,85,85
33,87,-87
34,89,89
35,91,-91
36,93,93
37,95,-95
38,97,97
39,99,-99
40,101,101
41,109,-109
42,117,117
43,123,-123
44,131,131
45,139,-139
46,147,147
47,155,-155
48,163,163
49,171,-171
50,179,179
51,187,-187
52,195,195
53,203,-203
54,211,211
55,217,-217
56,223,223
57,231,-231
58,239,239
59,247,-247
60,255,255
61,263,-263
62,271,271
63,279,-279
64,287,287
65,295,-295
66,303,303
67,311,-311
68,317,317
69,323,-323
70,331,331
71,339,-339
72,347,347
73,355,-355
74,363,363
75,371,-371
76,379,379
77,387,-387
78,395,395
79,403,-403
80,411,411
81,417,-417
82,423,423
83,431,-431
84,439,439
85,447,-447
86,455,455
87,463,-463
88,471,471
89,479,-479
90,487,487
91,495,-495
92,503,503
93,511,-511
94,517,517
95,523,-523
96,531,531
97,539,-539
98,547,547
99,555,-555
100,563,563
101,571,-571
102,579,579
103,587,-587
104,595,595
105,603,-603
106,611,611
107,617,-617
108,623,623
109,631,-631
110,639,639
111,647,-647
112,655,655
113,663,-663
114,671,671
115,679,-679
116,687,687
117,695,-695
118,703,703
119,711,-711
120,717,717
121,723,-723
122,731,731
123,739,-739
124,747,747
125,755,-755
126,763,763
127,771,-771
128,779,779
129,787,-787
130,795,795
131,803,-803
132,811,811
133,817,-817
134,823,823
135,831,-831
136,839,839
137,847,-847
138,855,855
139,863,-863
140,871,871
141,879,-879
142,887,887
143,895,-895
144,903,903
145,911,-911
146,917,917
147,923,-923
148,931,931
149,939,-939
150,947,947
151,955,-955
152,963,963
153,971,-971
154,979,979
155,987,-987
156,995,995
157,1003,-1003
