Step,Value,WaveformValue
0,20,20
1,28,-28
2,40,40
3,51,-51
4,63,63
5,75,-75
6,88,88
7,101,-101
8,112,112
9,119,-119
10,126,126
11,145,-145
12,166,166
13,186,-186
14,206,206
15,216,-216
16,222,222
17,239,-239
18,258,258
19,276,-276
20,296,296
21,316,-316
22,322,322
23,339,-339
24,358,358
25,376,-376
26,396,396
27,416,-416
28,425,425
29,445,-445
30,468,468
31,490,-490
32,509,509
33,520,-520
34,534,534
35,554,-554
36,574,574
37,596,-596
38,616,616
39,623,-623
40,641,641
41,663,-663
42,682,682
43,701,-701
44,713,713
45,721,-721
46,741,741
47,764,-764
48,787,787
49,809,-809
50,821,821
51,840,-840
52,858,858
53,877,-877
54,899,899
55,921,-921
56,941,941
57,964,-964
58,987,987
59,1009,-1009
