Step,Value,WaveformValue
0,20,20
1,27,-27
2,39,39
3,43,-43
4,47,47
5,52,-52
6,56,56
7,62,-62
8,66,66
9,72,-72
10,76,76
11,82,-82
12,86,86
13,92,-92
14,96,96
15,102,-102
16,109,109
17,116,-116
18,119,119
19,122,-122
20,136,136
21,145,-145
22,151,151
23,157,-157
24,165,165
25,171,-171
26,177,177
27,185,-185
28,191,191
29,197,-197
30,205,205
31,212,-212
32,216,216
33,220,-220
34,231,231
35,238,-238
36,246,246
37,256,-256
38,266,266
39,276,-276
40,286,286
41,296,-296
42,306,306
43,316,-316
44,320,320
45,331,-331
46,338,338
47,346,-346
48,356,356
49,366,-366
50,376,376
51,386,-386
52,396,396
53,406,-406
54,415,415
55,418,-418
56,421,421
57,434,-434
58,440,440
59,443,-443
60,450,450
61,453,-453
62,460,460
63,463,-463
64,470,470
65,473,-473
66,480,480
67,483,-483
68,490,490
69,493,-493
70,500,500
71,503,-503
72,510,510
73,516,-516
74,519,519
75,522,-522
76,536,536
77,545,-545
78,551,551
79,557,-557
80,565,565
81,571,-571
82,577,577
83,585,-585
84,591,591
85,597,-597
86,605,605
87,614,-614
88,620,620
89,633,-633
90,643,643
91,653,-653
92,663,663
93,673,-673
94,683,683
95,693,-693
96,703,703
97,712,-712
98,717,717
99,722,-722
100,738,738
101,747,-747
102,757,757
103,767,-767
104,777,777
105,787,-787
106,797,797
107,807,-807
108,816,816
109,820,-820
110,831,831
111,838,-838
112,846,846
113,856,-856
114,866,866
115,876,-876
116,886,886
117,896,-896
118,906,906
119,916,-916
120,920,920
121,931,-931
122,938,938
123,946,-946
124,956,956
125,966,-966
126,976,976
127,986,-986
128,996,996
129,1006,-1006
