Step,Value,WaveformValue
0,94,94
1,100,-100
2,102,102
3,109,-109
4,111,111
5,113,-113
6,115,115
7,117,-117
8,119,119
9,121,-121
10,125,125
11,132,-132
12,139,139
13,141,-141
14,145,145
15,152,-152
16,159,159
17,161,-161
18,165,165
19,172,-172
20,179,179
21,181,-181
22,185,185
23,192,-192
24,199,199
25,201,-201
26,208,208
27,213,-213
28,218,218
29,223,-223
30,234,234
31,245,-245
32,255,255
33,265,-265
34,275,275
35,285,-285
36,295,295
37,305,-305
38,316,316
39,322,-322
40,333,333
41,345,-345
42,356,356
43,362,-362
44,373,373
45,385,-385
46,396,396
47,402,-402
48,413,413
49,419,-419
50,425,425
51,436,-436
52,442,442
53,453,-453
54,465,465
55,476,-476
56,482,482
57,493,-493
58,505,505
59,515,-515
60,520,520
61,525,-525
62,535,535
63,545,-545
64,555,555
65,565,-565
66,575,575
67,585,-585
68,595,595
69,605,-605
70,610,610
