Step,Value,WaveformValue
0,57,57
1,63,-63
2,69,69
3,76,-76
4,82,82
5,88,-88
6,94,94
7,100,-100
8,110,110
9,119,-119
10,122,122
11,138,-138
12,147,147
13,156,-156
14,165,165
15,174,-174
16,183,183
17,192,-192
18,201,201
19,208,-208
20,216,216
21,220,-220
22,231,231
23,240,-240
24,244,244
25,254,-254
26,264,264
27,274,-274
28,284,284
29,294,-294
30,304,304
31,312,-312
32,316,316
33,320,-320
34,331,331
35,340,-340
36,344,344
37,354,-354
38,364,364
39,374,-374
40,384,384
41,394,-394
42,404,404
43,412,-412
44,416,416
45,420,-420
46,431,431
47,440,-440
48,444,444
49,454,-454
50,464,464
51,474,-474
52,484,484
53,494,-494
54,504,504
55,512,-512
56,516,516
57,520,-520
58,531,531
59,540,-540
60,544,544
61,554,-554
62,564,564
63,574,-574
64,584,584
65,594,-594
66,604,604
67,612,-612
68,616,616
69,620,-620
70,631,631
71,640,-640
72,644,644
73,654,-654
74,664,664
75,674,-674
76,684,684
77,694,-694
78,704,704
79,712,-712
80,716,716
81,720,-720
82,731,731
83,740,-740
84,744,744
85,754,-754
86,764,764
87,774,-774
88,784,784
89,794,-794
90,804,804
91,812,-812
92,816,816
93,820,-820
94,831,831
95,840,-840
96,844,844
97,854,-854
98,864,864
99,874,-874
100,884,884
101,894,-894
102,904,904
103,913,-913
104,918,918
105,923,-923
106,941,941
107,951,-951
108,961,961
109,971,-971
110,981,981
111,991,-991
112,1001,1001
