Step,Value,WaveformValue
0,20,20
1,25,-25
2,35,35
3,51,-51
4,64,64
5,78,-78
6,95,95
7,116,-116
8,122,122
9,137,-137
10,160,160
11,173,-173
12,195,195
13,222,-222
14,238,238
15,261,-261
16,278,278
17,302,-302
18,312,312
19,319,-319
20,326,326
21,345,-345
22,364,364
23,385,-385
24,408,408
25,422,-422
26,441,441
27,461,-461
28,481,481
29,505,-505
30,517,517
31,525,-525
32,543,543
33,562,-562
34,581,581
35,603,-603
36,616,616
37,626,-626
38,648,648
39,670,-670
40,692,692
41,722,-722
42,740,740
43,756,-756
44,782,782
45,806,-806
46,820,820
47,833,-833
48,856,856
49,881,-881
50,903,903
51,913,-913
52,920,920
53,932,-932
54,954,954
55,978,-978
56,1002,1002
