Step,Value,WaveformValue
0,20,20
1,26,-26
2,36,36
3,46,-46
4,58,58
5,68,-68
6,78,78
7,90,-90
8,99,99
9,113,-113
10,121,121
11,140,-140
12,156,156
13,175,-175
14,195,195
15,215,-215
16,221,221
17,238,-238
18,253,253
19,269,-269
20,287,287
21,305,-305
22,314,314
23,320,-320
24,332,332
25,347,-347
26,365,365
27,381,-381
28,400,400
29,408,-408
30,419,419
31,427,-427
32,445,445
33,464,-464
34,484,484
35,505,-505
36,514,514
37,520,-520
38,532,532
39,547,-547
40,565,565
41,581,-581
42,600,600
43,607,-607
44,618,618
45,625,-625
46,641,641
47,661,-661
48,680,680
49,695,-695
50,714,714
51,721,-721
52,739,739
53,757,-757
54,775,775
55,794,-794
56,815,815
57,821,-821
58,838,838
59,853,-853
60,869,869
61,887,-887
62,905,905
63,916,-916
64,924,924
65,943,-943
66,962,962
67,980,-980
68,996,996
69,1017,-1017
