Step,Value,WaveformValue
0,20,20
1,24,-24
2,34,34
3,47,-47
4,57,57
5,71,-71
6,85,85
7,94,-94
8,108,108
9,122,-122
10,140,140
11,155,-155
12,179,179
13,203,-203
14,216,216
15,226,-226
16,246,246
17,267,-267
18,286,286
19,306,-306
20,321,321
21,340,-340
22,356,356
23,382,-382
24,401,401
25,415,-415
26,427,427
27,448,-448
28,471,471
29,497,-497
30,522,522
31,541,-541
32,561,561
33,580,-580
34,595,595
35,619,-619
36,631,631
37,654,-654
38,681,681
39,701,-701
40,714,714
41,725,-725
42,745,745
43,766,-766
44,787,787
45,807,-807
46,822,822
47,842,-842
48,863,863
49,884,-884
50,906,906
51,920,-920
52,934,934
53,957,-957
54,981,981
55,999,-999
56,1021,1021
