Step,Value,WaveformValue
0,21,21
1,34,-34
2,44,44
3,54,-54
4,64,64
5,74,-74
6,84,84
7,94,-94
8,104,104
9,120,-120
10,136,136
11,148,-148
12,160,160
13,169,-169
14,181,181
15,196,-196
16,208,208
17,217,-217
18,226,226
19,245,-245
20,262,262
21,277,-277
22,289,289
23,301,-301
24,315,315
25,326,-326
26,347,347
27,361,-361
28,378,378
29,392,-392
30,409,409
31,422,-422
32,448,448
33,464,-464
34,487,487
35,503,-503
36,519,519
37,530,-530
38,541,541
39,558,-558
40,572,572
41,589,-589
42,603,603
43,614,-614
44,620,620
45,633,-633
46,647,647
47,656,-656
48,665,665
49,679,-679
50,688,688
51,697,-697
52,706,706
53,712,-712
54,718,718
55,724,-724
56,747,747
57,756,-756
58,765,765
59,779,-779
60,788,788
61,797,-797
62,806,806
63,812,-812
64,818,818
65,824,-824
66,847,847
67,856,-856
68,865,865
69,879,-879
70,888,888
71,897,-897
72,906,906
73,912,-912
74,918,918
75,924,-924
76,947,947
77,956,-956
78,965,965
79,979,-979
80,988,988
81,997,-997
82,1006,1006
