Step,Value,WaveformValue
0,1,1
1,4,-4
2,8,8
3,12,-12
4,18,18
5,26,-26
6,38,38
7,50,-50
8,57,57
9,71,-71
10,84,84
11,97,-97
12,112,112
13,128,-128
14,151,151
15,173,-173
16,197,197
17,222,-222
18,246,246
19,269,-269
20,293,293
21,318,-318
22,337,337
23,361,-361
24,383,383
25,407,-407
26,423,423
27,447,-447
28,472,472
29,497,-497
30,523,523
31,547,-547
32,572,572
33,597,-597
34,623,623
35,646,-646
36,668,668
37,690,-690
38,708,708
39,724,-724
40,749,749
41,775,-775
42,801,801
43,815,-815
44,834,834
45,857,-857
46,882,882
47,906,-906
48,921,921
49,945,-945
50,970,970
51,990,-990
52,1010,1010
