Step,Value,WaveformValue
0,1,1
1,4,-4
2,8,8
3,13,-13
4,21,21
5,30,-30
6,36,36
7,45,-45
8,54,54
9,63,-63
10,73,73
11,85,-85
12,95,95
13,105,-105
14,122,122
15,144,-144
16,166,166
17,187,-187
18,211,211
19,230,-230
20,249,249
21,271,-271
22,294,294
23,317,-317
24,341,341
25,364,-364
26,388,388
27,414,-414
28,436,436
29,459,-459
30,482,482
31,505,-505
32,523,523
33,548,-548
34,572,572
35,596,-596
36,619,619
37,640,-640
38,658,658
39,681,-681
40,703,703
41,723,-723
42,749,749
43,773,-773
44,800,800
45,812,-812
46,833,833
47,859,-859
48,883,883
49,909,-909
50,927,927
51,952,-952
52,974,974
53,999,-999
54,1023,1023
