Step,Value,WaveformValue
0,20,20
1,25,-25
2,35,35
3,47,-47
4,62,62
5,71,-71
6,83,83
7,92,-92
8,100,100
9,108,-108
10,121,121
11,139,-139
12,159,159
13,177,-177
14,199,199
15,217,-217
16,223,223
17,238,-238
18,257,257
19,275,-275
20,293,293
21,308,-308
22,320,320
23,332,-332
24,349,349
25,369,-369
26,387,387
27,406,-406
28,420,420
29,437,-437
30,463,463
31,485,-485
32,507,507
33,521,-521
34,539,539
35,559,-559
36,577,577
37,599,-599
38,617,617
39,623,-623
40,638,638
41,657,-657
42,675,675
43,693,-693
44,708,708
45,723,-723
46,742,742
47,763,-763
48,783,783
49,802,-802
50,813,813
51,822,-822
52,839,839
53,860,-860
54,875,875
55,896,-896
56,913,913
57,921,-921
58,939,939
59,959,-959
60,977,977
61,999,-999
62,1017,1017
