Step,Value,WaveformValue
0,20,20
1,31,-31
2,34,34
3,38,-38
4,45,45
5,49,-49
6,55,55
7,59,-59
8,65,65
9,69,-69
10,75,75
11,79,-79
12,85,85
13,89,-89
14,95,95
15,99,-99
16,105,105
17,112,-112
18,115,115
19,118,-118
20,121,121
21,138,-138
22,148,148
23,158,-158
24,168,168
25,178,-178
26,188,188
27,198,-198
28,208,208
29,219,-219
30,223,223
31,242,-242
32,250,250
33,254,-254
34,262,262
35,270,-270
36,274,274
37,282,-282
38,290,290
39,294,-294
40,302,302
41,310,-310
42,319,319
43,323,-323
44,342,342
45,350,-350
46,354,354
47,362,-362
48,370,370
49,374,-374
50,382,382
51,390,-390
52,394,394
53,402,-402
54,410,410
55,419,-419
56,423,423
57,442,-442
58,450,450
59,454,-454
60,462,462
61,470,-470
62,474,474
63,482,-482
64,490,490
65,494,-494
66,502,502
67,510,-510
68,519,519
69,523,-523
70,542,542
71,550,-550
72,554,554
73,562,-562
74,570,570
75,574,-574
76,582,582
77,590,-590
78,594,594
79,602,-602
80,610,610
81,619,-619
82,623,623
83,642,-642
84,650,650
85,654,-654
86,662,662
87,670,-670
88,674,674
89,682,-682
90,690,690
91,694,-694
92,702,702
93,712,-712
94,718,718
95,724,-724
96,745,745
97,755,-755
98,765,765
99,775,-775
100,785,785
101,795,-795
102,805,805
103,816,-816
104,823,823
105,845,-845
106,856,856
107,867,-867
108,880,880
109,887,-887
110,900,900
111,906,-906
112,916,916
113,922,-922
114,943,943
115,953,-953
116,963,963
117,973,-973
118,983,983
119,993,-993
120,1003,1003
