Step,Value,WaveformValue
0,20,20
1,24,-24
2,33,33
3,36,-36
4,39,39
5,42,-42
6,45,45
7,49,-49
8,52,52
9,55,-55
10,59,59
11,62,-62
12,65,65
13,69,-69
14,72,72
15,75,-75
16,79,79
17,82,-82
18,85,85
19,89,-89
20,92,92
21,95,-95
22,99,99
23,102,-102
24,106,106
25,110,-110
26,114,114
27,116,-116
28,118,118
29,120,-120
30,126,126
31,135,-135
32,141,141
33,146,-146
34,151,151
35,156,-156
36,161,161
37,166,-166
38,171,171
39,176,-176
40,181,181
41,186,-186
42,191,191
43,196,-196
44,201,201
45,205,-205
46,210,210
47,214,-214
48,216,216
49,218,-218
50,220,220
51,226,-226
52,235,235
53,241,-241
54,246,246
55,251,-251
56,256,256
57,261,-261
58,266,266
59,271,-271
60,276,276
61,281,-281
62,286,286
63,291,-291
64,296,296
65,301,-301
66,305,305
67,310,-310
68,314,314
69,316,-316
70,318,318
71,320,-320
72,326,326
73,335,-335
74,341,341
75,346,-346
76,351,351
77,356,-356
78,361,361
79,366,-366
80,371,371
81,376,-376
82,381,381
83,386,-386
84,391,391
85,396,-396
86,401,401
87,407,-407
88,414,414
89,418,-418
90,422,422
91,433,-433
92,440,440
93,444,-444
94,453,453
95,460,-460
96,464,464
97,473,-473
98,480,480
99,484,-484
100,493,493
101,500,-500
102,503,503
103,508,-508
104,514,514
105,517,-517
106,520,520
107,527,-527
108,538,538
109,545,-545
110,552,552
111,558,-558
112,565,565
113,572,-572
114,578,578
115,585,-585
116,592,592
117,598,-598
118,605,605
119,610,-610
120,614,614
121,616,-616
122,618,618
123,620,-620
124,626,626
125,635,-635
126,641,641
127,646,-646
128,651,651
129,656,-656
130,661,661
131,666,-666
132,671,671
133,676,-676
134,681,681
135,686,-686
136,691,691
137,696,-696
138,701,701
139,706,-706
140,711,711
141,714,-714
142,717,717
143,720,-720
144,727,727
145,738,-738
146,745,745
147,752,-752
148,758,758
149,765,-765
150,772,772
151,778,-778
152,785,785
153,792,-792
154,798,798
155,805,-805
156,811,811
157,814,-814
158,817,817
159,820,-820
160,827,827
161,838,-838
162,845,845
163,852,-852
164,858,858
165,865,-865
166,872,872
167,878,-878
168,885,885
169,892,-892
170,898,898
171,905,-905
172,910,910
173,914,-914
174,916,916
175,918,-918
176,920,920
177,926,-926
178,935,935
179,941,-941
180,946,946
181,951,-951
182,956,956
183,961,-961
184,966,966
185,971,-971
186,976,976
187,981,-981
188,986,986
189,991,-991
190,996,996
191,1001,-1001
