Step,Value,WaveformValue
0,63,63
1,68,-68
2,77,77
3,86,-86
4,91,91
5,95,-95
6,100,100
7,104,-104
8,113,113
9,117,-117
10,121,121
11,142,-142
12,151,151
13,159,-159
14,171,171
15,179,-179
16,191,191
17,199,-199
18,211,211
19,226,-226
20,249,249
21,262,-262
22,272,272
23,282,-282
24,292,292
25,302,-302
26,312,312
27,317,-317
28,322,322
29,345,-345
30,355,355
31,365,-365
32,375,375
33,385,-385
34,395,395
35,405,-405
36,415,415
37,420,-420
38,438,438
39,452,-452
40,462,462
41,472,-472
42,482,482
43,492,-492
44,502,502
45,512,-512
46,517,517
47,522,-522
48,545,545
49,555,-555
50,565,565
51,575,-575
52,585,585
53,595,-595
54,605,605
55,615,-615
56,620,620
57,638,-638
58,652,652
59,662,-662
60,672,672
61,682,-682
62,692,692
63,702,-702
64,716,716
65,725,-725
66,752,752
67,766,-766
68,780,780
69,789,-789
70,806,806
71,820,-820
72,842,842
73,856,-856
74,870,870
75,879,-879
76,896,896
77,910,-910
78,926,926
79,952,-952
80,965,965
81,978,-978
82,995,995
83,1008,-1008
