Step,Value,WaveformValue
0,1,1
1,3,-3
2,8,8
3,12,-12
4,17,17
5,24,-24
6,35,35
7,45,-45
8,57,57
9,70,-70
10,81,81
11,95,-95
12,113,113
13,125,-125
14,140,140
15,154,-154
16,175,175
17,196,-196
18,219,219
19,234,-234
20,254,254
21,277,-277
22,300,300
23,309,-309
24,322,322
25,340,-340
26,357,357
27,379,-379
28,403,403
29,418,-418
30,435,435
31,455,-455
32,478,478
33,503,-503
34,516,516
35,529,-529
36,546,546
37,565,-565
38,585,585
39,609,-609
40,620,620
41,632,-632
42,649,649
43,668,-668
44,687,687
45,710,-710
46,721,721
47,736,-736
48,753,753
49,775,-775
50,798,798
51,824,-824
52,843,843
53,864,-864
54,886,886
55,909,-909
56,921,921
57,936,-936
58,953,953
59,975,-975
60,998,998
61,1024,-1024
