Step,Value,WaveformValue
0,63,63
1,68,-68
2,76,76
3,82,-82
4,87,87
5,95,-95
6,100,100
7,108,-108
8,119,119
9,123,-123
10,137,137
11,149,-149
12,160,160
13,164,-164
14,172,172
15,181,-181
16,190,190
17,194,-194
18,202,202
19,210,-210
20,219,219
21,223,-223
22,237,237
23,249,-249
24,260,260
25,264,-264
26,272,272
27,281,-281
28,290,290
29,294,-294
30,302,302
31,310,-310
32,319,319
33,323,-323
34,337,337
35,349,-349
36,360,360
37,364,-364
38,372,372
39,381,-381
40,390,390
41,394,-394
42,402,402
43,409,-409
44,418,418
45,421,-421
46,434,434
47,441,-441
48,449,449
49,459,-459
50,469,469
51,479,-479
52,489,489
53,499,-499
54,509,509
55,519,-519
56,523,523
57,537,-537
58,549,549
59,560,-560
60,564,564
61,572,-572
62,581,581
63,590,-590
64,594,594
65,602,-602
66,611,611
67,616,-616
68,621,621
69,636,-636
70,647,647
71,660,-660
72,665,665
73,675,-675
74,685,685
75,695,-695
76,705,705
77,716,-716
78,723,723
79,740,-740
80,747,747
81,762,-762
82,774,774
83,785,-785
84,797,797
85,812,-812
86,819,819
87,826,-826
88,844,844
89,855,-855
90,867,867
91,882,-882
92,894,894
93,905,-905
94,915,915
95,921,-921
96,937,937
97,951,-951
98,962,962
99,973,-973
100,984,984
101,994,-994
102,1004,1004
