Step,Value,WaveformValue
0,20,20
1,27,-27
2,43,43
3,57,-57
4,72,72
5,85,-85
6,98,98
7,112,-112
8,119,119
9,126,-126
10,146,146
11,167,-167
12,189,189
13,209,-209
14,220,220
15,234,-234
16,259,259
17,279,-279
18,300,300
19,307,-307
20,320,320
21,334,-334
22,359,359
23,379,-379
24,400,400
25,411,-411
26,422,422
27,446,-446
28,471,471
29,495,-495
30,520,520
31,535,-535
32,558,558
33,579,-579
34,601,601
35,611,-611
36,618,618
37,625,-625
38,646,646
39,667,-667
40,689,689
41,709,-709
42,723,723
43,746,-746
44,770,770
45,787,-787
46,812,812
47,820,-820
48,835,835
49,858,-858
50,879,879
51,901,-901
52,912,912
53,920,-920
54,935,935
55,958,-958
56,979,979
57,1001,-1001
