Step,Value,WaveformValue
0,20,20
1,23,-23
2,32,32
3,44,-44
4,56,56
5,63,-63
6,69,69
7,75,-75
8,81,81
9,87,-87
10,94,94
11,100,-100
12,103,103
13,111,-111
14,123,123
15,136,-136
16,154,154
17,164,-164
18,174,174
19,184,-184
20,194,194
21,204,-204
22,211,211
23,222,-222
24,233,233
25,249,-249
26,264,264
27,273,-273
28,282,282
29,290,-290
30,293,293
31,302,-302
32,309,309
33,317,-317
34,321,321
35,334,-334
36,351,351
37,361,-361
38,371,371
39,381,-381
40,391,391
41,401,-401
42,409,409
43,417,-417
44,421,421
45,434,-434
46,451,451
47,461,-461
48,471,471
49,481,-481
50,491,491
51,501,-501
52,509,509
53,517,-517
54,521,521
55,534,-534
56,551,551
57,561,-561
58,571,571
59,581,-581
60,591,591
61,601,-601
62,610,610
63,618,-618
64,623,623
65,637,-637
66,656,656
67,668,-668
68,678,678
69,688,-688
70,698,698
71,708,-708
72,716,716
73,721,-721
74,735,735
75,753,-753
76,764,764
77,775,-775
78,786,786
79,798,-798
80,808,808
81,814,-814
82,817,817
83,820,-820
84,826,826
85,839,-839
86,855,855
87,864,-864
88,873,873
89,882,-882
90,890,890
91,893,-893
92,902,902
93,909,-909
94,917,917
95,921,-921
96,934,934
97,951,-951
98,961,961
99,971,-971
100,981,981
101,991,-991
102,1001,1001
