Step,Value,WaveformValue
0,1,1
1,5,-5
2,9,9
3,13,-13
4,21,21
5,34,-34
6,49,49
7,63,-63
8,77,77
9,93,-93
10,107,107
11,123,-123
12,147,147
13,173,-173
14,197,197
15,223,-223
16,248,248
17,273,-273
18,298,298
19,323,-323
20,348,348
21,373,-373
22,398,398
23,423,-423
24,448,448
25,473,-473
26,498,498
27,523,-523
28,548,548
29,573,-573
30,598,598
31,623,-623
32,649,649
33,675,-675
34,701,701
35,718,-718
36,739,739
37,767,-767
38,796,796
39,824,-824
40,849,849
41,874,-874
42,899,899
43,924,-924
44,949,949
45,974,-974
46,999,999
47,1024,-1024
