Step,Value,WaveformValue
0,22,22
1,31,-31
2,34,34
3,41,-41
4,44,44
5,51,-51
6,54,54
7,61,-61
8,64,64
9,71,-71
10,74,74
11,81,-81
12,84,84
13,91,-91
14,94,94
15,101,-101
16,107,107
17,114,-114
18,117,117
19,120,-120
20,129,129
21,143,-143
22,150,150
23,153,-153
24,160,160
25,163,-163
26,170,170
27,173,-173
28,180,180
29,183,-183
30,190,190
31,193,-193
32,200,200
33,203,-203
34,210,210
35,217,-217
36,220,220
37,229,-229
38,243,243
39,250,-250
40,253,253
41,260,-260
42,263,263
43,270,-270
44,273,273
45,280,-280
46,283,283
47,290,-290
48,293,293
49,300,-300
50,304,304
51,315,-315
52,319,319
53,323,-323
54,337,337
55,345,-345
56,354,354
57,365,-365
58,374,374
59,385,-385
60,394,394
61,405,-405
62,417,417
63,424,-424
64,444,444
65,458,-458
66,469,469
67,481,-481
68,491,491
69,501,-501
70,509,509
71,519,-519
72,524,524
73,542,-542
74,550,550
75,555,-555
76,565,565
77,575,-575
78,585,585
79,595,-595
80,605,605
81,613,-613
82,616,616
83,619,-619
84,622,622
85,634,-634
86,644,644
87,654,-654
88,664,664
89,674,-674
90,684,684
91,694,-694
92,704,704
93,715,-715
94,719,719
95,723,-723
96,737,737
97,745,-745
98,754,754
99,765,-765
100,774,774
101,785,-785
102,794,794
103,805,-805
104,814,814
105,818,-818
106,822,822
107,835,-835
108,844,844
109,855,-855
110,864,864
111,875,-875
112,884,884
113,895,-895
114,904,904
115,916,-916
116,921,921
117,935,-935
118,945,945
119,955,-955
120,965,965
121,975,-975
122,985,985
123,995,-995
124,1005,1005
