Step,Value,WaveformValue
0,85,85
1,89,-89
2,91,91
3,93,-93
4,97,97
5,100,-100
6,102,102
7,106,-106
8,109,109
9,113,-113
10,115,115
11,117,-117
12,119,119
13,121,-121
14,128,128
15,135,-135
16,141,141
17,145,-145
18,151,151
19,155,-155
20,161,161
21,165,-165
22,171,171
23,175,-175
24,181,181
25,185,-185
26,191,191
27,195,-195
28,201,201
29,205,-205
30,211,211
31,213,-213
32,215,215
33,217,-217
34,219,219
35,221,-221
36,228,228
37,235,-235
38,241,241
39,245,-245
40,251,251
41,255,-255
42,261,261
43,265,-265
44,271,271
45,275,-275
46,281,281
47,285,-285
48,291,291
49,295,-295
50,301,301
51,307,-307
52,314,314
53,318,-318
54,322,322
55,331,-331
56,337,337
57,344,-344
58,351,351
59,357,-357
60,364,364
61,371,-371
62,377,377
63,384,-384
64,391,391
65,397,-397
66,404,404
67,410,-410
68,415,415
69,418,-418
70,421,421
71,429,-429
72,437,437
73,443,-443
74,450,450
75,453,-453
76,460,460
77,463,-463
78,470,470
79,473,-473
80,480,480
81,483,-483
82,490,490
83,493,-493
84,500,500
85,504,-504
86,511,511
87,515,-515
88,519,519
89,523,-523
90,534,534
91,541,-541
92,547,547
93,554,-554
94,561,561
95,567,-567
96,574,574
97,581,-581
98,587,587
99,594,-594
100,601,601
101,604,-604
102,608,608
103,611,-611
104,612,612
105,613,-613
106,614,614
107,615,-615
108,616,616
109,617,-617
110,618,618
111,619,-619
112,620,620
113,624,-624
114,631,631
115,634,-634
116,638,638
117,641,-641
118,644,644
119,648,-648
120,651,651
121,654,-654
122,658,658
123,661,-661
124,664,664
125,668,-668
126,671,671
127,674,-674
128,678,678
129,681,-681
130,684,684
131,688,-688
132,691,691
133,694,-694
134,698,698
135,701,-701
136,706,706
137,710,-710
138,715,715
139,718,-718
140,721,721
141,729,-729
142,737,737
143,743,-743
144,750,750
145,753,-753
146,760,760
147,763,-763
148,770,770
149,773,-773
150,780,780
151,783,-783
152,790,790
153,793,-793
154,800,800
155,802,-802
156,806,806
157,809,-809
158,813,813
159,815,-815
160,817,817
161,819,-819
162,821,821
163,828,-828
164,835,835
165,841,-841
166,845,845
167,851,-851
168,855,855
169,861,-861
170,865,865
171,871,-871
172,875,875
173,881,-881
174,885,885
175,891,-891
176,895,895
177,901,-901
178,905,905
179,911,-911
180,913,913
181,915,-915
182,917,917
183,919,-919
184,921,921
185,928,-928
186,935,935
187,941,-941
188,945,945
189,951,-951
190,955,955
191,961,-961
192,965,965
193,971,-971
194,975,975
195,981,-981
196,985,985
197,991,-991
198,995,995
199,1001,-1001
