Step,Value,WaveformValue
0,58,58
1,61,-61
2,63,63
3,66,-66
4,69,69
5,72,-72
6,74,74
7,77,-77
8,80,80
9,88,-88
10,99,99
11,102,-102
12,106,106
13,111,-111
14,113,113
15,115,-115
16,117,117
17,119,-119
18,121,121
19,128,-128
20,136,136
21,146,-146
22,151,151
23,155,-155
24,161,161
25,165,-165
26,171,171
27,175,-175
28,181,181
29,193,-193
30,198,198
31,203,-203
32,208,208
33,213,-213
34,215,215
35,217,-217
36,219,219
37,221,-221
38,228,228
39,236,-236
40,246,246
41,251,-251
42,255,255
43,261,-261
44,265,265
45,271,-271
46,275,275
47,281,-281
48,293,293
49,298,-298
50,303,303
51,309,-309
52,315,315
53,318,-318
54,321,321
55,329,-329
56,338,338
57,349,-349
58,355,355
59,362,-362
60,367,367
61,373,-373
62,379,379
63,385,-385
64,400,400
65,403,-403
66,409,409
67,415,-415
68,418,418
69,421,-421
70,429,429
71,438,-438
72,449,449
73,455,-455
74,462,462
75,467,-467
76,473,473
77,479,-479
78,485,485
79,500,-500
80,504,504
81,511,-511
82,515,515
83,519,-519
84,523,523
85,533,-533
86,545,545
87,553,-553
88,560,560
89,564,-564
90,571,571
91,577,-577
92,584,584
93,599,-599
94,606,606
95,612,-612
96,615,615
97,618,-618
98,621,621
99,629,-629
100,638,638
101,649,-649
102,655,655
103,662,-662
104,667,667
105,673,-673
106,679,679
107,685,-685
108,700,700
109,703,-703
110,709,709
111,715,-715
112,718,718
113,721,-721
114,729,729
115,738,-738
116,749,749
117,755,-755
118,762,762
119,767,-767
120,773,773
121,779,-779
122,785,785
123,800,-800
124,803,803
125,809,-809
126,815,815
127,818,-818
128,821,821
129,829,-829
130,838,838
131,849,-849
132,855,855
133,862,-862
134,867,867
135,873,-873
136,879,879
137,885,-885
138,900,900
139,903,-903
140,909,909
141,915,-915
142,918,918
143,921,-921
144,929,929
145,938,-938
146,949,949
147,955,-955
148,962,962
149,967,-967
150,973,973
151,979,-979
152,985,985
153,1000,-1000
