Step,Value,WaveformValue
0,1,1
1,4,-4
2,8,8
3,13,-13
4,21,21
5,30,-30
6,36,36
7,45,-45
8,55,55
9,64,-64
10,73,73
11,83,-83
12,94,94
13,104,-104
14,114,114
15,128,-128
16,145,145
17,161,-161
18,175,175
19,190,-190
20,201,201
21,211,-211
22,225,225
23,241,-241
24,258,258
25,276,-276
26,291,291
27,307,-307
28,317,317
29,331,-331
30,348,348
31,367,-367
32,382,382
33,400,-400
34,407,407
35,417,-417
36,431,431
37,448,-448
38,467,467
39,482,-482
40,500,500
41,506,-506
42,514,514
43,528,-528
44,545,545
45,561,-561
46,575,575
47,590,-590
48,601,601
49,609,-609
50,617,617
51,629,-629
52,643,643
53,659,-659
54,673,673
55,688,-688
56,705,705
57,714,-714
58,728,728
59,745,-745
60,761,761
61,775,-775
62,790,790
63,801,-801
64,812,812
65,828,-828
66,847,847
67,865,-865
68,881,881
69,899,-899
70,916,916
71,928,-928
72,945,945
73,961,-961
74,975,975
75,990,-990
76,1001,1001
