Step,Value,WaveformValue
0,1,1
1,3,-3
2,6,6
3,8,-8
4,10,10
5,12,-12
6,16,16
7,20,-20
8,23,23
9,29,-29
10,34,34
11,40,-40
12,45,45
13,54,-54
14,61,61
15,66,-66
16,71,71
17,78,-78
18,85,85
19,94,-94
20,102,102
21,108,-108
22,114,114
23,122,-122
24,131,131
25,140,-140
26,149,149
27,160,-160
28,167,167
29,177,-177
30,189,189
31,200,-200
32,204,204
33,211,-211
34,221,221
35,230,-230
36,237,237
37,247,-247
38,259,259
39,269,-269
40,278,278
41,289,-289
42,300,300
43,305,-305
44,314,314
45,323,-323
46,334,334
47,345,-345
48,359,359
49,370,-370
50,380,380
51,390,-390
52,400,400
53,405,-405
54,414,414
55,423,-423
56,434,434
57,445,-445
58,459,459
59,470,-470
60,480,480
61,490,-490
62,500,500
63,506,-506
64,514,514
65,524,-524
66,536,536
67,547,-547
68,561,561
69,572,-572
70,585,585
71,600,-600
72,604,604
73,611,-611
74,621,621
75,630,-630
76,637,637
77,647,-647
78,659,659
79,669,-669
80,678,678
81,689,-689
82,700,700
83,705,-705
84,714,714
85,723,-723
86,734,734
87,745,-745
88,759,759
89,770,-770
90,780,780
91,790,-790
92,800,800
93,804,-804
94,811,811
95,821,-821
96,830,830
97,837,-837
98,847,847
99,859,-859
100,869,869
101,878,-878
102,889,889
103,900,-900
104,904,904
105,911,-911
106,921,921
107,930,-930
108,937,937
109,947,-947
110,959,959
111,969,-969
112,978,978
113,989,-989
114,1000,1000
