Step,Value,WaveformValue
0,20,20
1,29,-29
2,42,42
3,44,-44
4,49,49
5,53,-53
6,56,56
7,59,-59
8,63,63
9,66,-66
10,69,69
11,73,-73
12,76,76
13,79,-79
14,83,83
15,86,-86
16,89,89
17,93,-93
18,96,96
19,99,-99
20,103,103
21,108,-108
22,113,113
23,115,-115
24,117,117
25,119,-119
26,121,121
27,134,-134
28,148,148
29,153,-153
30,158,158
31,163,-163
32,168,168
33,173,-173
34,178,178
35,183,-183
36,188,188
37,193,-193
38,198,198
39,203,-203
40,208,208
41,213,-213
42,215,215
43,217,-217
44,219,219
45,221,-221
46,234,234
47,248,-248
48,253,253
49,258,-258
50,263,263
51,268,-268
52,273,273
53,278,-278
54,283,283
55,288,-288
56,293,293
57,298,-298
58,303,303
59,309,-309
60,316,316
61,319,-319
62,322,322
63,336,-336
64,349,349
65,356,-356
66,362,362
67,367,-367
68,373,373
69,379,-379
70,386,386
71,392,-392
72,397,397
73,403,-403
74,411,411
75,416,-416
76,421,421
77,437,-437
78,452,452
79,459,-459
80,468,468
81,476,-476
82,484,484
83,494,-494
84,504,504
85,513,-513
86,517,517
87,521,-521
88,536,536
89,550,-550
90,554,554
91,563,-563
92,570,570
93,574,-574
94,583,583
95,590,-590
96,594,594
97,603,-603
98,609,609
99,616,-616
100,619,619
101,622,-622
102,636,636
103,649,-649
104,656,656
105,662,-662
106,667,667
107,673,-673
108,679,679
109,686,-686
110,692,692
111,697,-697
112,703,703
113,709,-709
114,716,716
115,719,-719
116,722,722
117,736,-736
118,749,749
119,756,-756
120,762,762
121,767,-767
122,773,773
123,779,-779
124,786,786
125,792,-792
126,797,797
127,803,-803
128,809,809
129,816,-816
130,819,819
131,822,-822
132,836,836
133,849,-849
134,856,856
135,862,-862
136,867,867
137,873,-873
138,879,879
139,886,-886
140,892,892
141,897,-897
142,903,903
143,910,-910
144,918,918
145,922,-922
146,937,937
147,951,-951
148,957,957
149,964,-964
150,973,973
151,980,-980
152,984,984
153,993,-993
154,1000,1000
