Step,Value,WaveformValue
0,20,20
1,24,-24
2,32,32
3,44,-44
4,48,48
5,53,-53
6,58,58
7,63,-63
8,68,68
9,73,-73
10,78,78
11,83,-83
12,88,88
13,93,-93
14,98,98
15,103,-103
16,111,111
17,122,-122
18,134,134
19,148,-148
20,156,156
21,162,-162
22,170,170
23,173,-173
24,181,181
25,187,-187
26,193,193
27,201,-201
28,209,209
29,220,-220
30,229,229
31,244,-244
32,253,253
33,263,-263
34,273,273
35,283,-283
36,293,293
37,303,-303
38,313,313
39,318,-318
40,323,323
41,337,-337
42,352,352
43,362,-362
44,372,372
45,382,-382
46,392,392
47,402,-402
48,411,411
49,423,-423
50,436,436
51,450,-450
52,454,454
53,462,-462
54,471,471
55,478,-478
56,487,487
57,494,-494
58,502,502
59,509,-509
60,517,517
61,519,-519
62,521,521
63,532,-532
64,546,546
65,551,-551
66,556,556
67,561,-561
68,566,566
69,571,-571
70,576,576
71,581,-581
72,586,586
73,591,-591
74,596,596
75,601,-601
76,607,607
77,613,-613
78,616,616
79,619,-619
80,622,622
81,634,-634
82,648,648
83,656,-656
84,662,662
85,670,-670
86,673,673
87,681,-681
88,687,687
89,693,-693
90,701,701
91,707,-707
92,713,713
93,716,-716
94,719,719
95,722,-722
96,734,734
97,748,-748
98,756,756
99,762,-762
100,770,770
101,773,-773
102,781,781
103,787,-787
104,793,793
105,801,-801
106,809,809
107,820,-820
108,829,829
109,844,-844
110,853,853
111,863,-863
112,873,873
113,883,-883
114,893,893
115,903,-903
116,914,914
117,920,-920
118,930,930
119,943,-943
120,954,954
121,964,-964
122,974,974
123,984,-984
124,994,994
125,1004,-1004
