Step,Value,WaveformValue
0,20,20
1,27,-27
2,39,39
3,51,-51
4,57,57
5,62,-62
6,69,69
7,74,-74
8,82,82
9,89,-89
10,94,94
11,102,-102
12,111,111
13,121,-121
14,138,138
15,155,-155
16,165,165
17,175,-175
18,185,185
19,195,-195
20,205,205
21,214,-214
22,219,219
23,224,-224
24,244,244
25,257,-257
26,267,267
27,277,-277
28,287,287
29,297,-297
30,307,307
31,314,-314
32,318,318
33,322,-322
34,340,340
35,344,-344
36,356,356
37,365,-365
38,375,375
39,385,-385
40,395,395
41,405,-405
42,415,415
43,421,-421
44,440,440
45,446,-446
46,457,457
47,468,-468
48,480,480
49,486,-486
50,497,497
51,508,-508
52,516,516
53,520,-520
54,531,531
55,548,-548
56,558,558
57,568,-568
58,578,578
59,588,-588
60,598,598
61,608,-608
62,615,615
63,618,-618
64,621,621
65,637,-637
66,652,652
67,662,-662
68,672,672
69,682,-682
70,692,692
71,702,-702
72,710,710
73,716,-716
74,719,719
75,722,-722
76,739,739
77,754,-754
78,765,765
79,774,-774
80,785,785
81,794,-794
82,805,805
83,813,-813
84,817,817
85,821,-821
86,838,838
87,855,-855
88,865,865
89,875,-875
90,885,885
91,895,-895
92,905,905
93,912,-912
94,915,915
95,918,-918
96,921,921
97,937,-937
98,952,952
99,962,-962
100,972,972
101,982,-982
102,992,992
103,1002,-1002
