Step,Value,WaveformValue
0,64,64
1,69,-69
2,77,77
3,83,-83
4,88,88
5,95,-95
6,100,100
7,107,-107
8,114,114
9,117,-117
10,120,120
11,130,-130
12,133,133
13,141,-141
14,149,149
15,160,-160
16,163,163
17,171,-171
18,179,179
19,190,-190
20,193,193
21,201,-201
22,208,208
23,217,-217
24,221,221
25,237,-237
26,247,247
27,257,-257
28,267,267
29,277,-277
30,287,287
31,297,-297
32,307,307
33,314,-314
34,317,317
35,320,-320
36,330,330
37,333,-333
38,341,341
39,349,-349
40,360,360
41,363,-363
42,371,371
43,379,-379
44,390,390
45,393,-393
46,401,401
47,407,-407
48,414,414
49,417,-417
50,420,420
51,430,-430
52,433,433
53,441,-441
54,449,449
55,460,-460
56,463,463
57,471,-471
58,479,479
59,490,-490
60,493,493
61,501,-501
62,507,507
63,514,-514
64,517,517
65,520,-520
66,530,530
67,533,-533
68,541,541
69,549,-549
70,560,560
71,563,-563
72,571,571
73,579,-579
74,590,590
75,593,-593
76,601,601
77,608,-608
78,617,617
79,621,-621
80,637,637
81,647,-647
82,657,657
83,667,-667
84,677,677
85,687,-687
86,697,697
87,707,-707
88,715,715
89,719,-719
90,723,723
91,739,-739
92,751,751
93,760,-760
94,764,764
95,773,-773
96,782,782
97,792,-792
98,802,802
99,811,-811
100,816,816
101,821,-821
102,838,838
103,850,-850
104,855,855
105,865,-865
106,875,875
107,885,-885
108,895,895
109,905,-905
110,914,914
111,920,-920
112,933,933
113,944,-944
114,955,955
115,966,-966
116,978,978
117,991,-991
118,1002,1002
