Step,Value,WaveformValue
0,20,20
1,27,-27
2,41,41
3,49,-49
4,56,56
5,64,-64
6,72,72
7,78,-78
8,85,85
9,92,-92
10,98,98
11,105,-105
12,114,114
13,119,-119
14,124,124
15,144,-144
16,157,157
17,169,-169
18,181,181
19,194,-194
20,207,207
21,214,-214
22,217,217
23,220,-220
24,230,230
25,233,-233
26,244,244
27,255,-255
28,265,265
29,275,-275
30,285,285
31,295,-295
32,305,305
33,314,-314
34,319,319
35,324,-324
36,344,344
37,357,-357
38,369,369
39,381,-381
40,394,394
41,407,-407
42,416,416
43,421,-421
44,441,441
45,454,-454
46,467,467
47,479,-479
48,491,491
49,504,-504
50,513,513
51,517,-517
52,521,521
53,540,-540
54,544,544
55,556,-556
56,568,568
57,579,-579
58,590,590
59,594,-594
60,606,606
61,616,-616
62,621,621
63,641,-641
64,654,654
65,667,-667
66,679,679
67,691,-691
68,704,704
69,713,-713
70,717,717
71,721,-721
72,740,740
73,744,-744
74,756,756
75,768,-768
76,779,779
77,790,-790
78,794,794
79,806,-806
80,815,815
81,819,-819
82,823,823
83,842,-842
84,852,852
85,862,-862
86,872,872
87,882,-882
88,892,892
89,902,-902
90,909,909
91,917,-917
92,921,921
93,940,-940
94,944,944
95,956,-956
96,968,968
97,979,-979
98,990,990
99,994,-994
100,1006,1006
