Step,Value,WaveformValue
0,21,21
1,37,-37
2,44,44
3,51,-51
4,57,57
5,64,-64
6,71,71
7,77,-77
8,84,84
9,91,-91
10,97,97
11,104,-104
12,111,111
13,114,-114
14,117,117
15,120,-120
16,133,133
17,144,-144
18,154,154
19,164,-164
20,174,174
21,184,-184
22,194,194
23,204,-204
24,212,212
25,216,-216
26,220,220
27,234,-234
28,245,245
29,256,-256
30,267,267
31,278,-278
32,289,289
33,301,-301
34,309,309
35,319,-319
36,324,324
37,346,-346
38,358,358
39,370,-370
40,375,375
41,387,-387
42,399,399
43,412,-412
44,416,416
45,420,-420
46,434,434
47,445,-445
48,456,456
49,467,-467
50,478,478
51,489,-489
52,501,501
53,508,-508
54,516,516
55,520,-520
56,534,534
57,545,-545
58,556,556
59,567,-567
60,578,578
61,589,-589
62,601,601
63,608,-608
64,616,616
65,620,-620
66,634,634
67,645,-645
68,656,656
69,667,-667
70,678,678
71,689,-689
72,701,701
73,708,-708
74,716,716
75,720,-720
76,734,734
77,745,-745
78,756,756
79,767,-767
80,778,778
81,789,-789
82,801,801
83,808,-808
84,816,816
85,820,-820
86,834,834
87,845,-845
88,856,856
89,867,-867
90,878,878
91,889,-889
92,901,901
93,909,-909
94,919,919
95,924,-924
96,946,946
97,958,-958
98,970,970
99,975,-975
100,987,987
101,999,-999
102,1012,1012
