Step,Value,WaveformValue
0,20,20
1,28,-28
2,43,43
3,47,-47
4,52,52
5,55,-55
6,59,59
7,67,-67
8,72,72
9,75,-75
10,79,79
11,87,-87
12,92,92
13,95,-95
14,99,99
15,107,-107
16,116,116
17,120,-120
18,132,132
19,139,-139
20,151,151
21,159,-159
22,171,171
23,179,-179
24,191,191
25,199,-199
26,211,211
27,221,-221
28,236,236
29,243,-243
30,250,250
31,253,-253
32,260,260
33,263,-263
34,270,270
35,273,-273
36,280,280
37,283,-283
38,290,290
39,293,-293
40,300,300
41,304,-304
42,313,313
43,317,-317
44,321,321
45,337,-337
46,346,346
47,354,-354
48,363,363
49,371,-371
50,379,379
51,391,-391
52,399,399
53,411,-411
54,423,423
55,440,-440
56,445,445
57,454,-454
58,464,464
59,474,-474
60,484,484
61,494,-494
62,504,504
63,513,-513
64,517,517
65,521,-521
66,537,537
67,546,-546
68,554,554
69,563,-563
70,571,571
71,579,-579
72,591,591
73,599,-599
74,611,611
75,622,-622
76,637,637
77,646,-646
78,654,654
79,663,-663
80,671,671
81,679,-679
82,691,691
83,699,-699
84,711,711
85,723,-723
86,740,740
87,745,-745
88,754,754
89,764,-764
90,774,774
91,784,-784
92,794,794
93,804,-804
94,816,816
95,823,-823
96,842,842
97,852,-852
98,862,862
99,872,-872
100,882,882
101,892,-892
102,902,902
103,913,-913
104,921,921
105,941,-941
106,953,953
107,965,-965
108,977,977
109,990,-990
110,998,998
111,1013,-1013
