Step,Value,WaveformValue
0,3,3
1,6,-6
2,9,9
3,13,-13
4,20,20
5,25,-25
6,36,36
7,45,-45
8,59,59
9,72,-72
10,83,83
11,93,-93
12,103,103
13,114,-114
14,133,133
15,150,-150
16,167,167
17,188,-188
18,207,207
19,220,-220
20,233,233
21,250,-250
22,267,267
23,288,-288
24,307,307
25,320,-320
26,333,333
27,350,-350
28,367,367
29,388,-388
30,407,407
31,424,-424
32,448,448
33,472,-472
34,495,495
35,520,-520
36,536,536
37,556,-556
38,579,579
39,602,-602
40,613,613
41,628,-628
42,645,645
43,667,-667
44,688,688
45,707,-707
46,722,722
47,740,-740
48,758,758
49,781,-781
50,801,801
51,813,-813
52,829,829
53,847,-847
54,869,869
55,890,-890
56,906,906
57,918,-918
58,935,935
59,956,-956
60,977,977
61,999,-999
62,1019,1019
