Step,Value,WaveformValue
0,1,1
1,2,-2
2,3,3
3,4,-4
4,5,5
5,6,-6
6,7,7
7,8,-8
8,9,9
9,10,-10
10,11,11
11,13,-13
12,15,15
13,17,-17
14,19,19
15,21,-21
16,24,24
17,27,-27
18,30,30
19,32,-32
20,35,35
21,38,-38
22,41,41
23,44,-44
24,47,47
25,50,-50
26,52,52
27,55,-55
28,58,58
29,61,-61
30,64,64
31,67,-67
32,70,70
33,72,-72
34,75,75
35,78,-78
36,81,81
37,84,-84
38,87,87
39,90,-90
40,92,92
41,95,-95
42,98,98
43,101,-101
44,104,104
45,107,-107
46,110,110
47,113,-113
48,117,117
49,121,-121
50,126,126
51,131,-131
52,136,136
53,141,-141
54,146,146
55,151,-151
56,156,156
57,161,-161
58,166,166
59,171,-171
60,176,176
61,181,-181
62,186,186
63,191,-191
64,196,196
65,201,-201
66,204,204
67,207,-207
68,210,210
69,213,-213
70,217,217
71,221,-221
72,226,226
73,231,-231
74,236,236
75,241,-241
76,246,246
77,251,-251
78,256,256
79,261,-261
80,266,266
81,271,-271
82,276,276
83,281,-281
84,286,286
85,291,-291
86,296,296
87,301,-301
88,304,304
89,307,-307
90,310,310
91,313,-313
92,317,317
93,321,-321
94,326,326
95,331,-331
96,336,336
97,341,-341
98,346,346
99,351,-351
100,356,356
101,361,-361
102,366,366
103,371,-371
104,376,376
105,381,-381
106,386,386
107,391,-391
108,396,396
109,401,-401
110,404,404
111,407,-407
112,410,410
113,413,-413
114,417,417
115,421,-421
116,426,426
117,431,-431
118,436,436
119,441,-441
120,446,446
121,451,-451
122,456,456
123,461,-461
124,466,466
125,471,-471
126,476,476
127,481,-481
128,486,486
129,491,-491
130,496,496
131,501,-501
132,504,504
133,507,-507
134,510,510
135,513,-513
136,517,517
137,521,-521
138,526,526
139,531,-531
140,536,536
141,541,-541
142,546,546
143,551,-551
144,556,556
145,561,-561
146,566,566
147,571,-571
148,576,576
149,581,-581
150,586,586
151,591,-591
152,596,596
153,601,-601
154,604,604
155,607,-607
156,610,610
157,613,-613
158,617,617
159,621,-621
160,626,626
161,631,-631
162,636,636
163,641,-641
164,646,646
165,651,-651
166,656,656
167,661,-661
168,666,666
169,671,-671
170,676,676
171,681,-681
172,686,686
173,691,-691
174,696,696
175,701,-701
176,704,704
177,707,-707
178,710,710
179,713,-713
180,717,717
181,721,-721
182,726,726
183,731,-731
184,736,736
185,741,-741
186,746,746
187,751,-751
188,756,756
189,761,-761
190,766,766
191,771,-771
192,776,776
193,781,-781
194,786,786
195,791,-791
196,796,796
197,801,-801
198,804,804
199,807,-807
200,810,810
201,813,-813
202,817,817
203,821,-821
204,826,826
205,831,-831
206,836,836
207,841,-841
208,846,846
209,851,-851
210,856,856
211,861,-861
212,866,866
213,871,-871
214,876,876
215,881,-881
216,886,886
217,891,-891
218,896,896
219,901,-901
220,904,904
221,907,-907
222,910,910
223,913,-913
224,917,917
225,921,-921
226,926,926
227,931,-931
228,936,936
229,941,-941
230,946,946
231,951,-951
232,956,956
233,961,-961
234,966,966
235,971,-971
236,976,976
237,981,-981
238,986,986
239,991,-991
240,996,996
241,1001,-1001
