Step,Value,WaveformValue
0,53,53
1,62,-62
2,73,73
3,77,-77
4,81,81
5,85,-85
6,89,89
7,94,-94
8,99,99
9,104,-104
10,113,113
11,117,-117
12,121,121
13,132,-132
14,140,140
15,144,-144
16,153,153
17,166,-166
18,181,181
19,189,-189
20,198,198
21,206,-206
22,214,214
23,218,-218
24,222,222
25,239,-239
26,248,248
27,256,-256
28,269,269
29,285,-285
30,293,293
31,301,-301
32,309,309
33,318,-318
34,322,322
35,339,-339
36,348,348
37,356,-356
38,369,369
39,385,-385
40,393,393
41,401,-401
42,410,410
43,422,-422
44,440,440
45,445,-445
46,454,454
47,469,-469
48,486,486
49,495,-495
50,504,504
51,513,-513
52,517,517
53,521,-521
54,532,532
55,540,-540
56,544,544
57,553,-553
58,566,566
59,581,-581
60,589,589
61,598,-598
62,606,606
63,614,-614
64,618,618
65,622,-622
66,639,639
67,648,-648
68,656,656
69,669,-669
70,685,685
71,693,-693
72,701,701
73,709,-709
74,718,718
75,722,-722
76,739,739
77,748,-748
78,756,756
79,769,-769
80,785,785
81,793,-793
82,801,801
83,809,-809
84,818,818
85,822,-822
86,839,839
87,848,-848
88,856,856
89,869,-869
90,885,885
91,893,-893
92,901,901
93,910,-910
94,922,922
95,940,-940
96,945,945
97,954,-954
98,969,969
99,986,-986
100,995,995
101,1004,-1004
