Step,Value,WaveformValue
0,23,23
1,35,-35
2,38,38
3,42,-42
4,46,46
5,49,-49
6,56,56
7,59,-59
8,66,66
9,69,-69
10,76,76
11,79,-79
12,86,86
13,89,-89
14,96,96
15,99,-99
16,106,106
17,113,-113
18,117,117
19,121,-121
20,137,137
21,144,-144
22,154,154
23,164,-164
24,174,174
25,184,-184
26,194,194
27,204,-204
28,214,214
29,218,-218
30,222,222
31,238,-238
32,246,246
33,253,-253
34,261,261
35,269,-269
36,280,280
37,284,-284
38,294,294
39,304,-304
40,314,314
41,318,-318
42,322,322
43,338,-338
44,346,346
45,353,-353
46,361,361
47,369,-369
48,380,380
49,384,-384
50,394,394
51,404,-404
52,416,416
53,422,-422
54,440,440
55,446,-446
56,455,455
57,464,-464
58,476,476
59,485,-485
60,494,494
61,506,-506
62,512,512
63,515,-515
64,518,518
65,521,-521
66,536,536
67,542,-542
68,549,549
69,559,-559
70,569,569
71,579,-579
72,589,589
73,599,-599
74,609,609
75,619,-619
76,622,622
77,637,-637
78,643,643
79,650,-650
80,653,653
81,660,-660
82,663,663
83,670,-670
84,673,673
85,680,-680
86,683,683
87,690,-690
88,693,693
89,700,-700
90,703,703
91,710,-710
92,718,718
93,721,-721
94,736,736
95,742,-742
96,749,749
97,759,-759
98,769,769
99,779,-779
100,789,789
101,799,-799
102,809,809
103,820,-820
104,832,832
105,840,-840
106,844,844
107,854,-854
108,864,864
109,874,-874
110,884,884
111,894,-894
112,904,904
113,917,-917
114,924,924
115,945,-945
116,955,955
117,965,-965
118,975,975
119,985,-985
120,995,995
121,1005,-1005
