Step,Value,WaveformValue
0,22,22
1,31,-31
2,34,34
3,38,-38
4,43,43
5,45,-45
6,48,48
7,53,-53
8,55,55
9,58,-58
10,63,63
11,65,-65
12,68,68
13,73,-73
14,75,75
15,78,-78
16,83,83
17,85,-85
18,88,88
19,93,-93
20,95,95
21,98,-98
22,103,103
23,108,-108
24,116,116
25,119,-119
26,122,122
27,134,-134
28,141,141
29,147,-147
30,154,154
31,161,-161
32,167,167
33,174,-174
34,181,181
35,187,-187
36,194,194
37,201,-201
38,207,207
39,214,-214
40,217,217
41,220,-220
42,229,229
43,243,-243
44,248,248
45,256,-256
46,263,263
47,268,-268
48,276,276
49,283,-283
50,288,288
51,296,-296
52,303,303
53,307,-307
54,313,313
55,315,-315
56,317,317
57,319,-319
58,321,321
59,332,-332
60,337,337
61,343,-343
62,347,347
63,353,-353
64,357,357
65,363,-363
66,367,367
67,373,-373
68,377,377
69,383,-383
70,387,387
71,393,-393
72,397,397
73,403,-403
74,409,409
75,418,-418
76,422,422
77,435,-435
78,442,442
79,449,-449
80,458,458
81,467,-467
82,475,475
83,482,-482
84,489,489
85,498,-498
86,507,507
87,514,-514
88,517,517
89,520,-520
90,529,529
91,543,-543
92,548,548
93,556,-556
94,563,563
95,568,-568
96,576,576
97,583,-583
98,588,588
99,596,-596
100,603,603
101,609,-609
102,618,618
103,622,-622
104,635,635
105,642,-642
106,649,649
107,658,-658
108,667,667
109,675,-675
110,682,682
111,689,-689
112,698,698
113,707,-707
114,715,715
115,719,-719
116,723,723
117,735,-735
118,742,742
119,749,-749
120,758,758
121,767,-767
122,775,775
123,782,-782
124,789,789
125,798,-798
126,807,807
127,816,-816
128,821,821
129,835,-835
130,843,843
131,850,-850
132,855,855
133,863,-863
134,870,870
135,875,-875
136,883,883
137,890,-890
138,895,895
139,903,-903
140,910,910
141,917,-917
142,922,922
143,936,-936
144,945,945
145,953,-953
146,960,960
147,965,-965
148,973,973
149,980,-980
150,985,985
151,993,-993
152,1000,1000
