Step,Value,WaveformValue
0,76,76
1,84,-84
2,87,87
3,95,-95
4,100,100
5,105,-105
6,113,113
7,116,-116
8,119,119
9,122,-122
10,132,132
11,144,-144
12,150,150
13,153,-153
14,158,158
15,168,-168
16,178,178
17,188,-188
18,198,198
19,208,-208
20,218,218
21,221,-221
22,231,231
23,243,-243
24,248,248
25,258,-258
26,268,268
27,278,-278
28,288,288
29,298,-298
30,308,308
31,317,-317
32,319,319
33,321,-321
34,330,330
35,338,-338
36,353,353
37,357,-357
38,367,367
39,377,-377
40,387,387
41,397,-397
42,407,407
43,418,-418
44,421,421
45,431,-431
46,443,443
47,448,-448
48,458,458
49,468,-468
50,478,478
51,488,-488
52,498,498
53,508,-508
54,520,520
55,529,-529
56,546,546
57,559,-559
58,572,572
59,580,-580
60,585,585
61,595,-595
62,605,605
63,618,-618
64,626,626
65,646,-646
66,662,662
67,673,-673
68,683,683
69,693,-693
70,703,703
71,713,-713
72,721,721
73,736,-736
74,758,758
75,773,-773
76,783,783
77,793,-793
78,803,803
79,812,-812
80,819,819
81,826,-826
82,845,845
83,857,-857
84,872,872
85,882,-882
86,892,892
87,902,-902
88,913,913
89,921,-921
90,936,936
91,958,-958
92,973,973
93,983,-983
94,993,993
95,1003,-1003
