Step,Value,WaveformValue
0,20,20
1,31,-31
2,38,38
3,47,-47
4,57,57
5,67,-67
6,77,77
7,87,-87
8,97,97
9,107,-107
10,120,120
11,136,-136
12,152,152
13,165,-165
14,178,178
15,192,-192
16,205,205
17,217,-217
18,223,223
19,248,-248
20,263,263
21,277,-277
22,293,293
23,307,-307
24,321,321
25,345,-345
26,359,359
27,374,-374
28,386,386
29,403,-403
30,413,413
31,417,-417
32,421,421
33,443,-443
34,455,455
35,467,-467
36,481,481
37,492,-492
38,504,504
39,514,-514
40,520,520
41,537,-537
42,553,553
43,567,-567
44,583,583
45,597,-597
46,613,613
47,622,-622
48,650,650
49,659,-659
50,677,677
51,696,-696
52,716,716
53,724,-724
54,749,749
55,766,-766
56,785,785
57,801,-801
58,813,813
59,820,-820
60,838,838
61,854,-854
62,867,867
63,884,-884
64,897,897
65,914,-914
66,921,921
67,946,-946
68,964,964
69,977,-977
70,994,994
71,1007,-1007
