Step,Value,WaveformValue
0,64,64
1,75,-75
2,83,83
3,91,-91
4,97,97
5,100,-100
6,106,106
7,115,-115
8,124,124
9,150,-150
10,159,159
11,171,-171
12,186,186
13,198,-198
14,210,210
15,223,-223
16,246,246
17,258,-258
18,270,270
19,279,-279
20,291,291
21,306,-306
22,317,317
23,328,-328
24,348,348
25,362,-362
26,379,379
27,393,-393
28,412,412
29,426,-426
30,449,449
31,466,-466
32,483,483
33,505,-505
34,521,521
35,544,-544
36,566,566
37,580,-580
38,591,591
39,608,-608
40,614,614
41,620,-620
42,632,632
43,644,-644
44,661,661
45,673,-673
46,687,687
47,696,-696
48,705,705
49,716,-716
50,722,722
51,740,-740
52,746,746
53,755,-755
54,769,769
55,778,-778
56,787,787
57,796,-796
58,805,805
59,816,-816
60,822,822
61,840,-840
62,846,846
63,855,-855
64,869,869
65,878,-878
66,887,887
67,896,-896
68,905,905
69,916,-916
70,922,922
71,940,-940
72,946,946
73,955,-955
74,969,969
75,978,-978
76,987,987
77,996,-996
78,1005,1005
