Step,Value,WaveformValue
0,84,84
1,88,-88
2,93,93
3,96,-96
4,100,100
5,103,-103
6,108,108
7,115,-115
8,118,118
9,121,-121
10,132,132
11,138,-138
12,146,146
13,153,-153
14,159,159
15,166,-166
16,173,173
17,179,-179
18,186,186
19,193,-193
20,199,199
21,206,-206
22,211,211
23,213,-213
24,215,215
25,217,-217
26,219,219
27,221,-221
28,231,231
29,237,-237
30,244,244
31,250,-250
32,252,252
33,257,-257
34,264,264
35,270,-270
36,272,272
37,277,-277
38,284,284
39,290,-290
40,292,292
41,297,-297
42,304,304
43,309,-309
44,314,314
45,316,-316
46,318,318
47,320,-320
48,326,326
49,336,-336
50,342,342
51,347,-347
52,354,354
53,360,-360
54,362,362
55,367,-367
56,374,374
57,380,-380
58,382,382
59,387,-387
60,394,394
61,400,-400
62,403,403
63,408,-408
64,415,415
65,418,-418
66,421,421
67,432,-432
68,438,438
69,446,-446
70,453,453
71,459,-459
72,466,466
73,473,-473
74,479,479
75,486,-486
76,493,493
77,499,-499
78,506,506
79,513,-513
80,517,517
81,521,-521
82,533,533
83,540,-540
84,544,544
85,552,-552
86,559,559
87,567,-567
88,576,576
89,584,-584
90,592,592
91,599,-599
92,607,607
93,614,-614
94,617,617
95,620,-620
96,627,627
97,639,-639
98,646,646
99,653,-653
100,659,659
101,666,-666
102,673,673
103,679,-679
104,686,686
105,693,-693
106,699,699
107,706,-706
108,713,713
109,717,-717
110,721,721
111,733,-733
112,740,740
113,744,-744
114,752,752
115,759,-759
116,767,767
117,776,-776
118,784,784
119,792,-792
120,799,799
121,807,-807
122,815,815
123,819,-819
124,823,823
125,834,-834
126,842,842
127,849,-849
128,857,857
129,866,-866
130,874,874
131,882,-882
132,889,889
133,897,-897
134,906,906
135,912,-912
136,915,915
137,918,-918
138,921,921
139,932,-932
140,938,938
141,946,-946
142,953,953
143,959,-959
144,966,966
145,973,-973
146,979,979
147,986,-986
148,993,993
149,999,-999
150,1006,1006
