Step,Value,WaveformValue
0,84,84
1,89,-89
2,92,92
3,96,-96
4,100,100
5,103,-103
6,109,109
7,115,-115
8,119,119
9,123,-123
10,134,134
11,143,-143
12,150,150
13,154,-154
14,163,163
15,170,-170
16,174,174
17,183,-183
18,190,190
19,194,-194
20,203,203
21,208,-208
22,215,215
23,218,-218
24,221,221
25,233,-233
26,239,239
27,245,-245
28,253,253
29,259,-259
30,265,265
31,273,-273
32,279,279
33,285,-285
34,293,293
35,299,-299
36,305,305
37,311,-311
38,313,313
39,315,-315
40,317,317
41,319,-319
42,321,321
43,332,-332
44,338,338
45,345,-345
46,352,352
47,358,-358
48,365,365
49,372,-372
50,378,378
51,385,-385
52,392,392
53,398,-398
54,405,405
55,413,-413
56,417,417
57,421,-421
58,434,434
59,443,-443
60,450,450
61,454,-454
62,463,463
63,470,-470
64,474,474
65,483,-483
66,490,490
67,494,-494
68,503,503
69,509,-509
70,515,515
71,519,-519
72,523,523
73,534,-534
74,543,543
75,550,-550
76,554,554
77,563,-563
78,570,570
79,574,-574
80,583,583
81,590,-590
82,594,594
83,603,-603
84,608,608
85,615,-615
86,618,618
87,621,-621
88,633,633
89,639,-639
90,645,645
91,653,-653
92,659,659
93,665,-665
94,673,673
95,679,-679
96,685,685
97,693,-693
98,699,699
99,705,-705
100,713,713
101,717,-717
102,721,721
103,734,-734
104,743,743
105,750,-750
106,754,754
107,763,-763
108,770,770
109,774,-774
110,783,783
111,790,-790
112,794,794
113,803,-803
114,809,809
115,815,-815
116,819,819
117,823,-823
118,834,834
119,843,-843
120,850,850
121,854,-854
122,863,863
123,870,-870
124,874,874
125,883,-883
126,890,890
127,894,-894
128,903,903
129,907,-907
130,913,913
131,915,-915
132,917,917
133,919,-919
134,921,921
135,932,-932
136,938,938
137,945,-945
138,952,952
139,958,-958
140,965,965
141,972,-972
142,978,978
143,985,-985
144,992,992
145,998,-998
146,1005,1005
