Step,Value,WaveformValue
0,20,20
1,27,-27
2,38,38
3,43,-43
4,45,45
5,48,-48
6,53,53
7,55,-55
8,58,58
9,63,-63
10,65,65
11,68,-68
12,73,73
13,75,-75
14,78,78
15,83,-83
16,85,85
17,88,-88
18,93,93
19,95,-95
20,98,98
21,103,-103
22,108,108
23,116,-116
24,119,119
25,122,-122
26,135,135
27,141,-141
28,147,147
29,154,-154
30,161,161
31,167,-167
32,174,174
33,181,-181
34,187,187
35,194,-194
36,201,201
37,207,-207
38,214,214
39,217,-217
40,220,220
41,230,-230
42,233,233
43,238,-238
44,246,246
45,253,-253
46,258,258
47,266,-266
48,273,273
49,278,-278
50,286,286
51,293,-293
52,298,298
53,306,-306
54,312,312
55,314,-314
56,316,316
57,318,-318
58,320,320
59,329,-329
60,343,343
61,347,-347
62,353,353
63,357,-357
64,363,363
65,367,-367
66,373,373
67,377,-377
68,383,383
69,387,-387
70,393,393
71,397,-397
72,403,403
73,409,-409
74,418,418
75,422,-422
76,436,436
77,444,-444
78,452,452
79,459,-459
80,468,468
81,477,-477
82,485,485
83,492,-492
84,499,499
85,508,-508
86,516,516
87,519,-519
88,522,522
89,535,-535
90,541,541
91,547,-547
92,554,554
93,561,-561
94,567,567
95,574,-574
96,581,581
97,587,-587
98,594,594
99,601,-601
100,608,608
101,617,-617
102,621,621
103,635,-635
104,642,642
105,649,-649
106,658,658
107,667,-667
108,675,675
109,682,-682
110,689,689
111,698,-698
112,707,707
113,715,-715
114,719,719
115,723,-723
116,736,736
117,744,-744
118,752,752
119,759,-759
120,768,768
121,777,-777
122,785,785
123,792,-792
124,799,799
125,808,-808
126,818,818
127,823,-823
128,837,837
129,846,-846
130,855,855
131,863,-863
132,870,870
133,875,-875
134,883,883
135,890,-890
136,895,895
137,903,-903
138,910,910
139,917,-917
140,922,922
141,937,-937
142,946,946
143,955,-955
144,963,963
145,970,-970
146,975,975
147,983,-983
148,990,990
149,995,-995
150,1003,1003
