Step,Value,WaveformValue
0,20,20
1,23,-23
2,29,29
3,37,-37
4,41,41
5,46,-46
6,49,49
7,54,-54
8,57,57
9,61,-61
10,66,66
11,69,-69
12,74,74
13,77,-77
14,81,81
15,86,-86
16,89,89
17,94,-94
18,97,97
19,101,-101
20,111,111
21,116,-116
22,121,121
23,134,-134
24,142,142
25,150,-150
26,155,155
27,163,-163
28,171,171
29,181,-181
30,191,191
31,201,-201
32,209,209
33,217,-217
34,220,220
35,226,-226
36,235,235
37,241,-241
38,249,249
39,257,-257
40,264,264
41,270,-270
42,273,273
43,279,-279
44,287,287
45,294,-294
46,300,300
47,303,-303
48,309,309
49,317,-317
50,320,320
51,326,-326
52,335,335
53,341,-341
54,349,349
55,357,-357
56,364,364
57,370,-370
58,373,373
59,379,-379
60,387,387
61,394,-394
62,400,400
63,403,-403
64,409,409
65,417,-417
66,420,420
67,426,-426
68,435,435
69,441,-441
70,449,449
71,457,-457
72,464,464
73,470,-470
74,473,473
75,479,-479
76,487,487
77,494,-494
78,500,500
79,503,-503
80,509,509
81,517,-517
82,520,520
83,526,-526
84,535,535
85,541,-541
86,549,549
87,557,-557
88,564,564
89,570,-570
90,573,573
91,579,-579
92,587,587
93,594,-594
94,600,600
95,603,-603
96,609,609
97,617,-617
98,620,620
99,626,-626
100,635,635
101,641,-641
102,649,649
103,657,-657
104,664,664
105,670,-670
106,673,673
107,679,-679
108,687,687
109,694,-694
110,700,700
111,704,-704
112,711,711
113,715,-715
114,719,719
115,723,-723
116,733,733
117,740,-740
118,744,744
119,751,-751
120,760,760
121,764,-764
122,771,771
123,780,-780
124,784,784
125,791,-791
126,800,800
127,803,-803
128,809,809
129,817,-817
130,820,820
131,826,-826
132,835,835
133,841,-841
134,849,849
135,857,-857
136,864,864
137,870,-870
138,873,873
139,879,-879
140,887,887
141,894,-894
142,900,900
143,905,-905
144,913,913
145,918,-918
146,923,923
147,934,-934
148,942,942
149,950,-950
150,955,955
151,963,-963
152,971,971
153,981,-981
154,991,991
155,1001,-1001
