Step,Value,WaveformValue
0,1,1
1,5,-5
2,12,12
3,20,-20
4,27,27
5,42,-42
6,58,58
7,76,-76
8,92,92
9,106,-106
10,119,119
11,140,-140
12,161,161
13,186,-186
14,210,210
15,224,-224
16,250,250
17,271,-271
18,297,297
19,323,-323
20,346,346
21,372,-372
22,398,398
23,423,-423
24,450,450
25,476,-476
26,506,506
27,522,-522
28,547,547
29,579,-579
30,610,610
31,624,-624
32,650,650
33,671,-671
34,697,697
35,723,-723
36,748,748
37,777,-777
38,808,808
39,822,-822
40,844,844
41,875,-875
42,905,905
43,923,-923
44,947,947
45,977,-977
46,1007,1007
