Step,Value,WaveformValue
0,20,20
1,29,-29
2,44,44
3,59,-59
4,75,75
5,92,-92
6,107,107
7,124,-124
8,148,148
9,174,-174
10,201,201
11,215,-215
12,224,224
13,247,-247
14,273,273
15,298,-298
16,324,324
17,347,-347
18,373,373
19,398,-398
20,424,424
21,448,-448
22,474,474
23,501,-501
24,516,516
25,526,-526
26,549,549
27,575,-575
28,602,602
29,615,-615
30,624,624
31,647,-647
32,673,673
33,698,-698
34,724,724
35,750,-750
36,772,772
37,800,-800
38,811,811
39,822,-822
40,846,846
41,871,-871
42,899,899
43,927,-927
44,954,954
45,980,-980
46,1002,1002
