Step,Value,WaveformValue
0,20,20
1,29,-29
2,44,44
3,64,-64
4,82,82
5,99,-99
6,119,119
7,131,-131
8,159,159
9,190,-190
10,216,216
11,224,-224
12,247,247
13,276,-276
14,303,303
15,317,-317
16,327,327
17,353,-353
18,380,380
19,405,-405
20,422,422
21,445,-445
22,476,476
23,507,-507
24,525,525
25,550,-550
26,574,574
27,606,-606
28,620,620
29,639,-639
30,665,665
31,692,-692
32,718,718
33,731,-731
34,760,760
35,785,-785
36,818,818
37,831,-831
38,860,860
39,885,-885
40,918,918
41,930,-930
42,952,952
43,979,-979
44,1012,1012
