Step,Value,WaveformValue
0,20,20
1,27,-27
2,39,39
3,51,-51
4,62,62
5,71,-71
6,85,85
7,97,-97
8,111,111
9,118,-118
10,125,125
11,142,-142
12,162,162
13,178,-178
14,199,199
15,220,-220
16,233,233
17,249,-249
18,270,270
19,286,-286
20,305,305
21,314,-314
22,320,320
23,333,-333
24,349,349
25,370,-370
26,386,386
27,405,-405
28,417,417
29,426,-426
30,446,446
31,469,-469
32,489,489
33,512,-512
34,518,518
35,524,-524
36,543,543
37,562,-562
38,577,577
39,598,-598
40,617,617
41,624,-624
42,644,644
43,667,-667
44,685,685
45,704,-704
46,718,718
47,726,-726
48,745,745
49,766,-766
50,784,784
51,807,-807
52,819,819
53,826,-826
54,844,844
55,867,-867
56,885,885
57,904,-904
58,918,918
59,926,-926
60,945,945
61,966,-966
62,984,984
63,1007,-1007
