Step,Value,WaveformValue
0,20,20
1,28,-28
2,41,41
3,45,-45
4,49,49
5,57,-57
6,62,62
7,65,-65
8,69,69
9,77,-77
10,82,82
11,85,-85
12,89,89
13,97,-97
14,102,102
15,109,-109
16,121,121
17,137,-137
18,146,146
19,154,-154
20,163,163
21,171,-171
22,179,179
23,191,-191
24,199,199
25,211,-211
26,221,221
27,236,-236
28,243,243
29,250,-250
30,253,253
31,260,-260
32,263,263
33,270,-270
34,273,273
35,280,-280
36,283,283
37,290,-290
38,293,293
39,300,-300
40,304,304
41,313,-313
42,317,317
43,321,-321
44,337,337
45,346,-346
46,354,354
47,363,-363
48,371,371
49,379,-379
50,391,391
51,399,-399
52,411,411
53,423,-423
54,440,440
55,445,-445
56,454,454
57,464,-464
58,474,474
59,484,-484
60,494,494
61,504,-504
62,513,513
63,517,-517
64,521,521
65,537,-537
66,546,546
67,554,-554
68,563,563
69,571,-571
70,579,579
71,591,-591
72,599,599
73,611,-611
74,622,622
75,637,-637
76,646,646
77,654,-654
78,663,663
79,671,-671
80,679,679
81,691,-691
82,699,699
83,711,-711
84,723,723
85,740,-740
86,745,745
87,754,-754
88,764,764
89,774,-774
90,784,784
91,794,-794
92,804,804
93,814,-814
94,819,819
95,824,-824
96,842,842
97,850,-850
98,855,855
99,864,-864
100,874,874
101,884,-884
102,894,894
103,904,-904
104,917,917
105,925,-925
106,945,945
107,957,-957
108,970,970
109,978,-978
110,991,991
111,1003,-1003
