Step,Value,WaveformValue
0,22,22
1,28,-28
2,33,33
3,36,-36
4,39,39
5,41,-41
6,43,43
7,46,-46
8,49,49
9,51,-51
10,53,53
11,56,-56
12,59,59
13,61,-61
14,63,63
15,66,-66
16,69,69
17,71,-71
18,73,73
19,76,-76
20,79,79
21,81,-81
22,83,83
23,86,-86
24,89,89
25,91,-91
26,93,93
27,96,-96
28,99,99
29,101,-101
30,105,105
31,110,-110
32,115,115
33,117,-117
34,119,119
35,121,-121
36,128,128
37,135,-135
38,140,140
39,142,-142
40,147,147
41,152,-152
42,157,157
43,162,-162
44,167,167
45,172,-172
46,177,177
47,182,-182
48,187,187
49,192,-192
50,197,197
51,202,-202
52,208,208
53,213,-213
54,216,216
55,219,-219
56,222,222
57,231,-231
58,236,236
59,242,-242
60,248,248
61,253,-253
62,259,259
63,264,-264
64,270,270
65,273,-273
66,279,279
67,284,-284
68,290,290
69,293,-293
70,299,299
71,304,-304
72,310,310
73,316,-316
74,319,319
75,322,-322
76,331,331
77,336,-336
78,342,342
79,348,-348
80,353,353
81,359,-359
82,364,364
83,370,-370
84,373,373
85,379,-379
86,384,384
87,390,-390
88,393,393
89,399,-399
90,404,404
91,410,-410
92,416,416
93,419,-419
94,422,422
95,431,-431
96,436,436
97,442,-442
98,448,448
99,453,-453
100,459,459
101,464,-464
102,470,470
103,473,-473
104,479,479
105,484,-484
106,490,490
107,493,-493
108,499,499
109,504,-504
110,510,510
111,516,-516
112,519,519
113,522,-522
114,531,531
115,536,-536
116,542,542
117,548,-548
118,553,553
119,559,-559
120,564,564
121,570,-570
122,573,573
123,579,-579
124,584,584
125,590,-590
126,593,593
127,599,-599
128,604,604
129,610,-610
130,616,616
131,619,-619
132,622,622
133,631,-631
134,636,636
135,642,-642
136,648,648
137,653,-653
138,659,659
139,664,-664
140,670,670
141,673,-673
142,679,679
143,684,-684
144,690,690
145,693,-693
146,699,699
147,704,-704
148,710,710
149,716,-716
150,719,719
151,722,-722
152,731,731
153,736,-736
154,742,742
155,748,-748
156,753,753
157,759,-759
158,764,764
159,770,-770
160,773,773
161,779,-779
162,784,784
163,790,-790
164,793,793
165,799,-799
166,804,804
167,809,-809
168,813,813
169,815,-815
170,817,817
171,819,-819
172,821,821
173,828,-828
174,835,835
175,840,-840
176,842,842
177,847,-847
178,852,852
179,857,-857
180,862,862
181,867,-867
182,872,872
183,877,-877
184,882,882
185,887,-887
186,892,892
187,897,-897
188,902,902
189,907,-907
190,912,912
191,914,-914
192,916,916
193,918,-918
194,920,920
195,925,-925
196,933,933
197,938,-938
198,942,942
199,947,-947
200,952,952
201,957,-957
202,962,962
203,967,-967
204,972,972
205,977,-977
206,982,982
207,987,-987
208,992,992
209,997,-997
210,1002,1002
