Step,Value,WaveformValue
0,20,20
1,24,-24
2,33,33
3,41,-41
4,44,44
5,49,-49
6,51,51
7,54,-54
8,59,59
9,61,-61
10,64,64
11,69,-69
12,71,71
13,74,-74
14,79,79
15,81,-81
16,84,84
17,89,-89
18,91,91
19,94,-94
20,99,99
21,101,-101
22,107,107
23,115,-115
24,118,118
25,121,-121
26,131,131
27,140,-140
28,143,143
29,151,-151
30,157,157
31,165,-165
32,171,171
33,177,-177
34,185,185
35,191,-191
36,197,197
37,205,-205
38,212,212
39,216,-216
40,220,220
41,228,-228
42,240,240
43,244,-244
44,253,253
45,262,-262
46,270,270
47,274,-274
48,283,283
49,292,-292
50,300,300
51,305,-305
52,313,313
53,318,-318
54,323,323
55,337,-337
56,350,350
57,355,-355
58,363,363
59,373,-373
60,383,383
61,393,-393
62,403,403
63,413,-413
64,418,418
65,423,-423
66,437,437
67,450,-450
68,455,455
69,463,-463
70,473,473
71,483,-483
72,493,493
73,503,-503
74,511,511
75,514,-514
76,517,517
77,520,-520
78,527,527
79,539,-539
80,547,547
81,555,-555
82,561,561
83,567,-567
84,575,575
85,581,-581
86,587,587
87,595,-595
88,601,601
89,610,-610
90,620,620
91,630,-630
92,639,639
93,650,-650
94,656,656
95,668,-668
96,678,678
97,688,-688
98,698,698
99,708,-708
100,717,717
101,722,-722
102,735,735
103,746,-746
104,757,757
105,767,-767
106,777,777
107,787,-787
108,797,797
109,807,-807
110,816,816
111,820,-820
112,828,828
113,840,-840
114,844,844
115,853,-853
116,862,862
117,870,-870
118,874,874
119,883,-883
120,892,892
121,900,-900
122,902,902
123,908,-908
124,914,914
125,916,-916
126,918,918
127,920,-920
128,926,926
129,938,-938
130,947,947
131,954,-954
132,961,961
133,966,-966
134,974,974
135,981,-981
136,986,986
137,994,-994
138,1001,1001
